modelo,nome,posto,perna,fila,processo,entrada,saida,duracao
Atego,Atego_18,30A,1,0.0,314.0,6270.0,6584.0,314.0
Actros,Actros_15,31B,2,0.0,555.0,6032.0,6587.0,555.0
Atego (ATP),Atego (ATP)_11,32C,1,595.0,815.0,5944.0,6759.0,815.0
Atego,Atego_7,38,1,0.0,633.0,6179.0,6812.0,633.0
Accelo,Accelo_16,32A,1,292.0,354.0,6471.0,6825.0,354.0
Accelo,Accelo_8,34A,1,410.0,671.0,6179.0,6850.0,671.0
Atego,Atego_18,31A,1,0.0,314.0,6584.0,6898.0,314.0
Atego,Atego_19,30A,1,0.0,314.0,6600.0,6914.0,314.0
Actros,Actros_3,34B,2,0.0,1623.0,5341.0,6964.0,1623.0
Atego (ATP),Atego (ATP)_11,33A,1,0.0,376.0,6759.0,7135.0,376.0
Accelo,Accelo_17,32A,1,316.0,354.0,6825.0,7179.0,354.0
Atego,Atego_19,31A,1,0.0,314.0,6914.0,7228.0,314.0
Atego (ATP),Atego (ATP)_20,30A,1,0.0,326.0,6930.0,7256.0,326.0
Actros,Actros_3,39,2,0.0,354.0,6964.0,7318.0,354.0
Accelo,Accelo_12,32C,1,1056.0,561.0,6759.0,7320.0,561.0
Actros,Actros_9,33B,2,0.0,761.0,6560.0,7321.0,761.0
Accelo,Accelo_8,38,1,0.0,633.0,6850.0,7483.0,633.0
Atego,Atego_10,34A,1,478.0,646.0,6850.0,7496.0,646.0
Actros,Actros_15,32B,2,0.0,965.0,6587.0,7552.0,965.0
Atego,Atego_21,30A,1,0.0,314.0,7260.0,7574.0,314.0
Atego (ATP),Atego (ATP)_20,31A,1,0.0,330.0,7256.0,7586.0,330.0
Atego,Atego_18,32A,1,281.0,414.0,7179.0,7593.0,414.0
Accelo,Accelo_12,33A,1,0.0,369.0,7320.0,7689.0,369.0
Accelo,Accelo_13,32C,1,1263.0,561.0,7320.0,7881.0,561.0
Atego,Atego_21,31A,1,12.0,314.0,7586.0,7900.0,314.0
Atego,Atego_22,30A,1,0.0,314.0,7590.0,7904.0,314.0
Atego,Atego_19,32A,1,365.0,414.0,7593.0,8007.0,414.0
Atego,Atego_10,38,1,0.0,633.0,7496.0,8129.0,633.0
Atego (ATP),Atego (ATP)_11,34A,1,361.0,650.0,7496.0,8146.0,650.0
Atego,Atego_22,31A,1,0.0,314.0,7904.0,8218.0,314.0
Accelo,Accelo_13,33A,1,0.0,369.0,7881.0,8250.0,369.0
Arocs,Arocs_6,34B,2,696.0,1440.0,6964.0,8404.0,1440.0
Atego,Atego_14,32C,1,1410.0,544.0,7881.0,8425.0,544.0
Actros,Actros_15,32D,2,0.0,988.0,7552.0,8540.0,988.0
Atego,Atego_24,30A,1,0.0,314.0,8250.0,8564.0,314.0
Actros,Actros_23,30B,2,0.0,752.0,7920.0,8672.0,752.0
Atego (ATP),Atego (ATP)_20,32A,1,421.0,677.0,8007.0,8684.0,677.0
Arocs,Arocs_6,39,2,0.0,291.0,8404.0,8695.0,291.0
Atego (ATP),Atego (ATP)_11,38,1,0.0,633.0,8146.0,8779.0,633.0
Accelo,Accelo_12,34A,1,457.0,671.0,8146.0,8817.0,671.0
Atego,Atego_14,33A,1,0.0,428.0,8425.0,8853.0,428.0
Atego,Atego_24,31A,1,0.0,314.0,8564.0,8878.0,314.0
Atego (ATP),Atego (ATP)_25,30A,1,0.0,326.0,8580.0,8906.0,326.0
Accelo,Accelo_16,32C,1,1600.0,561.0,8425.0,8986.0,561.0
Atego,Atego_21,32A,1,784.0,414.0,8684.0,9098.0,414.0
Atego,Atego_26,30A,1,0.0,314.0,8910.0,9224.0,314.0
Actros,Actros_23,31B,2,0.0,555.0,8672.0,9227.0,555.0
Atego (ATP),Atego (ATP)_25,31A,1,0.0,330.0,8906.0,9236.0,330.0
Actros,Actros_15,33B,2,0.0,761.0,8540.0,9301.0,761.0
Accelo,Accelo_16,33A,1,0.0,369.0,8986.0,9355.0,369.0
Accelo,Accelo_12,38,1,0.0,633.0,8817.0,9450.0,633.0
Accelo,Accelo_13,34A,1,567.0,671.0,8817.0,9488.0,671.0
Atego,Atego_22,32A,1,880.0,414.0,9098.0,9512.0,414.0
Accelo,Accelo_17,32C,1,1807.0,561.0,8986.0,9547.0,561.0
Atego,Atego_26,31A,1,12.0,314.0,9236.0,9550.0,314.0
Atego,Atego_27,30A,1,0.0,314.0,9240.0,9554.0,314.0
Accelo,Accelo_28,30A,1,0.0,253.0,9570.0,9823.0,253.0
Atego,Atego_27,31A,1,0.0,314.0,9554.0,9868.0,314.0
Accelo,Accelo_17,33A,1,0.0,369.0,9547.0,9916.0,369.0
Atego,Atego_24,32A,1,634.0,414.0,9512.0,9926.0,414.0
Actros,Actros_9,34B,2,1083.0,1623.0,8404.0,10027.0,1623.0
Atego,Atego_18,32C,1,1954.0,544.0,9547.0,10091.0,544.0
Accelo,Accelo_13,38,1,0.0,633.0,9488.0,10121.0,633.0
Atego,Atego_14,34A,1,635.0,646.0,9488.0,10134.0,646.0
Accelo,Accelo_28,31A,1,45.0,316.0,9868.0,10184.0,316.0
Actros,Actros_23,32B,2,0.0,965.0,9227.0,10192.0,965.0
Actros,Actros_9,39,2,0.0,354.0,10027.0,10381.0,354.0
Accelo,Accelo_30,30A,1,0.0,253.0,10230.0,10483.0,253.0
Atego,Atego_18,33A,1,0.0,428.0,10091.0,10519.0,428.0
Atego (ATP),Atego (ATP)_25,32A,1,690.0,677.0,9926.0,10603.0,677.0
Atego,Atego_19,32C,1,2084.0,544.0,10091.0,10635.0,544.0
Actros,Actros_29,30B,2,0.0,752.0,9900.0,10652.0,752.0
Atego,Atego_14,38,1,0.0,633.0,10134.0,10767.0,633.0
Accelo,Accelo_30,31A,1,0.0,316.0,10483.0,10799.0,316.0
Accelo,Accelo_16,34A,1,779.0,671.0,10134.0,10805.0,671.0
Atego (ATP),Atego (ATP)_31,30A,1,0.0,326.0,10560.0,10886.0,326.0
Atego,Atego_26,32A,1,1053.0,414.0,10603.0,11017.0,414.0
Atego,Atego_19,33A,1,0.0,428.0,10635.0,11063.0,428.0
Accelo,Accelo_32,30A,1,0.0,253.0,10890.0,11143.0,253.0
Actros,Actros_23,32D,2,0.0,988.0,10192.0,11180.0,988.0
Actros,Actros_29,31B,2,0.0,555.0,10652.0,11207.0,555.0
Atego (ATP),Atego (ATP)_31,31A,1,0.0,330.0,10886.0,11216.0,330.0
Atego,Atego_27,32A,1,1149.0,414.0,11017.0,11431.0,414.0
Accelo,Accelo_16,38,1,0.0,633.0,10805.0,11438.0,633.0
Atego (ATP),Atego (ATP)_20,32C,1,1951.0,815.0,10635.0,11450.0,815.0
