modelo,nome,posto,entrada,saida,duracao,perna
Actros,Actros_18,39,28349.0,30473.0,2124.0,2
Atego,Atego_29,32C,19956.0,30514.5,10558.5,1
Actros,Actros_123,30B,29814.0,30566.0,752.0,2
Arocs,Arocs_118,32B,29617.0,30582.0,965.0,2
Atego,Atego_26,34A,29152.0,30618.5,1466.5,1
Atego,Atego_124,31A,30458.0,30772.0,314.0,1
Atego,Atego_28,33A,28935.0,30916.0,1981.0,1
Actros,Actros_123,31B,30566.0,31121.0,555.0,2
Arocs,Arocs_125,30B,30566.0,31318.0,752.0,2
Atego (ATP),Atego (ATP)_58,32A,14738.0,31492.0,16754.0,1
Actros,Actros_121,32B,30369.0,31547.0,1178.0,2
Arocs,Arocs_118,32D,30582.0,31570.0,988.0,2
Atego,Atego_26,38,30618.5,31639.5,1021.0,1
Arocs,Arocs_125,31B,31318.0,31873.0,555.0,2
Accelo,Accelo_127,30A,31648.0,31901.0,253.0,1
Actros,Actros_126,30B,31318.0,32070.0,752.0,2
Accelo,Accelo_30,32C,21024.0,32093.5,11069.5,1
Accelo,Accelo_127,31A,31901.0,32217.0,316.0,1
Atego,Atego_28,34A,30916.0,32382.5,1466.5,1
Actros,Actros_123,32B,31121.0,32512.0,1391.0,2
Actros,Actros_121,32D,31547.0,32558.0,1011.0,2
Accelo,Accelo_60,32A,15311.0,32560.0,17249.0,1
Actros,Actros_126,31B,32070.0,32625.0,555.0,2
Atego,Atego_29,33A,30514.5,32680.0,2165.5,1
Atego,Atego_129,30A,32400.0,32714.0,314.0,1
Actros,Actros_128,30B,32070.0,32822.0,752.0,2
Actros,Actros_39,33B,13764.0,32897.0,19133.0,2
Atego,Atego_129,31A,32714.0,33028.0,314.0,1
Actros,Actros_128,31B,32822.0,33377.0,555.0,2
Atego,Atego_28,38,32382.5,33403.5,1021.0,1
Arocs,Arocs_125,32B,31873.0,33477.0,1604.0,2
Actros,Actros_123,32D,32512.0,33546.0,1034.0,2
Atego,Atego_33,32C,22158.0,33673.0,11515.0,1
Atego,Atego_61,32A,15700.0,33694.0,17994.0,1
Actros,Actros_24,34B,19893.0,34142.0,14249.0,2
Atego,Atego_29,34A,32680.0,34146.5,1466.5,1
Accelo,Accelo_30,33A,32093.5,34263.0,2169.5,1
Actros,Actros_126,32B,32625.0,34442.0,1817.0,2
Arocs,Arocs_125,32D,33477.0,34534.0,1057.0,2
Accelo,Accelo_64,32A,16301.0,34762.0,18461.0,1
Atego,Atego_29,38,34146.5,35167.5,1021.0,1
Atego,Atego_37,32C,23292.0,35252.5,11960.5,1
Actros,Actros_128,32B,33377.0,35407.0,2030.0,2
Actros,Actros_126,32D,34442.0,35522.0,1080.0,2
Accelo,Accelo_30,34A,34263.0,35739.0,1476.0,1
Atego,Atego_33,33A,33673.0,36027.0,2354.0,1
Atego (ATP),Atego (ATP)_68,32A,16718.0,36159.0,19441.0,1
Actros,Actros_44,33B,14752.0,36242.0,21490.0,2
Actros,Actros_24,39,34142.0,36266.0,2124.0,2
Actros,Actros_128,32D,35407.0,36510.0,1103.0,2
Accelo,Accelo_30,38,35739.0,36760.0,1021.0,1
Accelo,Accelo_70,32A,17034.0,37227.0,20193.0,1
Atego,Atego_33,34A,36027.0,37493.5,1466.5,1
Atego (ATP),Atego (ATP)_40,32C,24689.0,37620.0,12931.0,1
Atego,Atego_37,33A,35252.5,37791.0,2538.5,1
Atego,Atego_72,32A,17680.0,38361.0,20681.0,1
Atego,Atego_33,38,37493.5,38514.5,1021.0,1
Accelo,Accelo_47,32C,25757.0,39199.0,13442.0,1
Atego,Atego_37,34A,37791.0,39257.5,1466.5,1
Atego (ATP),Atego (ATP)_40,33A,37620.0,39399.0,1779.0,1
Accelo,Accelo_78,32A,19125.0,39429.0,20304.0,1
Actros,Actros_46,33B,15740.0,39587.0,23847.0,2
Actros,Actros_25,34B,23238.0,39935.0,16697.0,2
Atego,Atego_37,38,39257.5,40278.5,1021.0,1
Atego,Atego_48,32C,26891.0,40778.5,13887.5,1
Atego (ATP),Atego (ATP)_81,32A,19964.0,40826.0,20862.0,1
Atego (ATP),Atego (ATP)_40,34A,39399.0,40873.5,1474.5,1
Accelo,Accelo_47,33A,39199.0,40982.0,1783.0,1
Atego (ATP),Atego (ATP)_40,38,40873.5,41894.5,1021.0,1
Atego,Atego_84,32A,20278.0,41960.0,21682.0,1
Actros,Actros_25,39,39935.0,42059.0,2124.0,2
Accelo,Accelo_51,32C,27959.0,42357.5,14398.5,1
Accelo,Accelo_47,34A,40982.0,42458.0,1476.0,1
Atego,Atego_48,33A,40778.5,42746.0,1967.5,1
Actros,Actros_54,33B,16728.0,42932.0,26204.0,2
Accelo,Accelo_85,32A,20594.0,43028.0,22434.0,1
Accelo,Accelo_47,38,42458.0,43479.0,1021.0,1
Accelo,Accelo_55,32C,29027.0,43936.5,14909.5,1
Accelo,Accelo_87,32A,20910.0,44096.0,23186.0,1
Atego,Atego_48,34A,42746.0,44212.5,1466.5,1
Accelo,Accelo_51,33A,42357.5,44329.0,1971.5,1
Arocs,Arocs_27,34B,26207.0,44872.0,18665.0,2
Atego,Atego_48,38,44212.5,45233.5,1021.0,1
