modelo,nome,posto,entrada,saida,duracao,perna
Accelo,Accelo_1,30A,660.0,913.0,253.0,1
Actros,Actros_0,30B,330.0,1082.0,752.0,2
Accelo,Accelo_1,31A,913.0,1229.0,316.0,1
Actros,Actros_0,31B,1082.0,1637.0,555.0,2
Atego,Atego_3,30A,1412.0,1726.0,314.0,1
Actros,Actros_2,30B,1082.0,1834.0,752.0,2
Atego,Atego_3,31A,1726.0,2040.0,314.0,1
Atego,Atego_4,30A,1742.0,2056.0,314.0,1
Accelo,Accelo_1,32A,1229.0,2297.0,1068.0,1
Atego,Atego_4,31A,2056.0,2370.0,314.0,1
Atego,Atego_5,30A,2072.0,2386.0,314.0,1
Actros,Actros_2,31B,1834.0,2389.0,555.0,2
Actros,Actros_0,32B,1637.0,2602.0,965.0,2
Accelo,Accelo_6,30A,2402.0,2655.0,253.0,1
Atego,Atego_5,31A,2386.0,2700.0,314.0,1
Accelo,Accelo_6,31A,2655.0,3016.0,361.0,1
Atego,Atego_7,30A,2732.0,3046.0,314.0,1
Atego,Atego_7,31A,3046.0,3360.0,314.0,1
Atego,Atego_8,30A,3062.0,3376.0,314.0,1
Atego,Atego_3,32A,2040.0,3431.0,1391.0,1
Actros,Actros_2,32B,2389.0,3567.0,1178.0,2
Actros,Actros_0,32D,2602.0,3590.0,988.0,2
Atego,Atego_8,31A,3376.0,3690.0,314.0,1
Accelo,Accelo_1,32C,2297.0,3876.0,1579.0,1
Actros,Actros_9,30B,3392.0,4144.0,752.0,2
Atego,Atego_4,32A,2370.0,4565.0,2195.0,1
Actros,Actros_2,32D,3567.0,4578.0,1011.0,2
Actros,Actros_9,31B,4144.0,4699.0,555.0,2
Atego,Atego_11,30A,4474.0,4788.0,314.0,1
Arocs,Arocs_10,30B,4144.0,4896.0,752.0,2
Accelo,Accelo_12,30A,4804.0,5057.0,253.0,1
Atego,Atego_11,31A,4788.0,5102.0,314.0,1
Accelo,Accelo_12,31A,5057.0,5418.0,361.0,1
Atego,Atego_13,30A,5134.0,5448.0,314.0,1
Arocs,Arocs_10,31B,4896.0,5451.0,555.0,2
Atego,Atego_3,32C,3431.0,5455.5,2024.5,1
Accelo,Accelo_1,33A,3876.0,5459.0,1583.0,1
Actros,Actros_9,32B,4699.0,5664.0,965.0,2
Atego,Atego_5,32A,2700.0,5699.0,2999.0,1
Atego,Atego_13,31A,5448.0,5762.0,314.0,1
Atego,Atego_14,30A,5464.0,5778.0,314.0,1
Atego,Atego_14,31A,5778.0,6092.0,314.0,1
Atego,Atego_15,30A,5794.0,6108.0,314.0,1
Atego,Atego_15,31A,6108.0,6422.0,314.0,1
Atego,Atego_16,30A,6124.0,6438.0,314.0,1
Arocs,Arocs_10,32B,5451.0,6629.0,1178.0,2
Actros,Actros_9,32D,5664.0,6652.0,988.0,2
Atego,Atego_16,31A,6438.0,6752.0,314.0,1
Accelo,Accelo_6,32A,3016.0,6767.0,3751.0,1
Atego,Atego_17,30A,6454.0,6768.0,314.0,1
Actros,Actros_0,33B,3590.0,6935.0,3345.0,2
Accelo,Accelo_1,34A,5459.0,6935.0,1476.0,1
Atego,Atego_4,32C,4565.0,7035.0,2470.0,1
Atego,Atego_17,31A,6768.0,7082.0,314.0,1
Atego,Atego_18,30A,6784.0,7098.0,314.0,1
Atego,Atego_3,33A,5455.5,7223.0,1767.5,1
Atego,Atego_18,31A,7098.0,7412.0,314.0,1
Atego,Atego_19,30A,7114.0,7428.0,314.0,1
Arocs,Arocs_10,32D,6629.0,7640.0,1011.0,2
Atego,Atego_19,31A,7428.0,7742.0,314.0,1
Atego,Atego_21,30A,7444.0,7758.0,314.0,1
Atego,Atego_7,32A,3360.0,7901.0,4541.0,1
Accelo,Accelo_1,38,6935.0,7956.0,1021.0,1
Atego,Atego_21,31A,7758.0,8072.0,314.0,1
Atego,Atego_22,30A,7774.0,8088.0,314.0,1
Atego,Atego_22,31A,8088.0,8402.0,314.0,1
Atego,Atego_5,32C,5699.0,8614.5,2915.5,1
Atego,Atego_3,34A,7223.0,8689.5,1466.5,1
Atego,Atego_24,30A,8434.0,8748.0,314.0,1
Actros,Actros_23,30B,8104.0,8856.0,752.0,2
Atego,Atego_4,33A,7035.0,8987.0,1952.0,1
Accelo,Accelo_25,30A,8764.0,9017.0,253.0,1
Atego,Atego_8,32A,3690.0,9035.0,5345.0,1
Atego,Atego_24,31A,8748.0,9062.0,314.0,1
Accelo,Accelo_25,31A,9017.0,9378.0,361.0,1
Actros,Actros_23,31B,8856.0,9411.0,555.0,2
Accelo,Accelo_27,30A,9424.0,9677.0,253.0,1
Atego,Atego_3,38,8689.5,9710.5,1021.0,1
Actros,Actros_26,30B,9094.0,9846.0,752.0,2
Accelo,Accelo_27,31A,9677.0,9993.0,316.0,1
Atego,Atego_11,32A,5102.0,10169.0,5067.0,1
