modelo,nome,posto,perna,fila,processo,entrada,saida,duracao
Atego,Atego_37,32A,1,84.0,414.0,13436.0,13850.0,414.0
Atego,Atego_31,32C,1,1571.0,544.0,13357.0,13901.0,544.0
Atego,Atego_21,38,1,0.0,633.0,13290.0,13923.0,633.0
Atego,Atego_23,34A,1,1732.0,646.0,13290.0,13936.0,646.0
Actros,Actros_25,34B,2,276.0,1623.0,12320.0,13943.0,1623.0
Atego,Atego_40,30A,1,0.0,314.0,13714.0,14028.0,314.0
Atego (ATP),Atego (ATP)_39,31B,2,0.0,330.0,13710.0,14040.0,330.0
Atego (ATP),Atego (ATP)_33,33B,2,0.0,376.0,13831.0,14207.0,376.0
Atego,Atego_38,32A,1,168.0,414.0,13850.0,14264.0,414.0
Actros,Actros_25,39,2,0.0,354.0,13943.0,14297.0,354.0
Accelo,Accelo_41,30A,1,0.0,253.0,14044.0,14297.0,253.0
Atego,Atego_31,33A,1,0.0,428.0,13901.0,14329.0,428.0
Atego (ATP),Atego (ATP)_28,34B,2,1386.0,395.0,13943.0,14338.0,395.0
Atego,Atego_40,31A,1,0.0,314.0,14028.0,14342.0,314.0
Atego,Atego_32,32C,1,1701.0,544.0,13901.0,14445.0,544.0
Atego (ATP),Atego (ATP)_28,39,2,0.0,120.0,14338.0,14458.0,120.0
Atego,Atego_23,38,1,0.0,633.0,13936.0,14569.0,633.0
Atego,Atego_24,34A,1,1834.0,646.0,13936.0,14582.0,646.0
Atego (ATP),Atego (ATP)_39,32B,2,0.0,557.0,14040.0,14597.0,557.0
Accelo,Accelo_41,31A,1,45.0,316.0,14342.0,14658.0,316.0
Atego (ATP),Atego (ATP)_42,30B,2,0.0,326.0,14374.0,14700.0,326.0
Atego,Atego_40,32A,1,0.0,414.0,14342.0,14756.0,414.0
Atego,Atego_32,33A,1,0.0,428.0,14445.0,14873.0,428.0
Accelo,Accelo_34,32C,1,1788.0,561.0,14445.0,15006.0,561.0
Atego,Atego_43,30A,1,0.0,314.0,14704.0,15018.0,314.0
Atego (ATP),Atego (ATP)_42,31B,2,0.0,330.0,14700.0,15030.0,330.0
Accelo,Accelo_41,32A,1,98.0,354.0,14756.0,15110.0,354.0
Atego (ATP),Atego (ATP)_39,32D,2,0.0,588.0,14597.0,15185.0,588.0
Atego,Atego_24,38,1,0.0,633.0,14582.0,15215.0,633.0
Accelo,Accelo_26,34A,1,1978.0,671.0,14582.0,15253.0,671.0
Atego,Atego_43,31A,1,0.0,314.0,15018.0,15332.0,314.0
Atego,Atego_44,30A,1,0.0,314.0,15034.0,15348.0,314.0
Accelo,Accelo_34,33A,1,0.0,369.0,15006.0,15375.0,369.0
Atego (ATP),Atego (ATP)_39,33B,2,0.0,376.0,15185.0,15561.0,376.0
Accelo,Accelo_35,32C,1,1995.0,561.0,15006.0,15567.0,561.0
Atego (ATP),Atego (ATP)_42,32B,2,0.0,557.0,15030.0,15587.0,557.0
Atego,Atego_44,31A,1,0.0,314.0,15348.0,15662.0,314.0
Atego,Atego_43,32A,1,0.0,414.0,15332.0,15746.0,414.0
Accelo,Accelo_26,38,1,0.0,633.0,15253.0,15886.0,633.0
Accelo,Accelo_27,34A,1,2088.0,671.0,15253.0,15924.0,671.0
Accelo,Accelo_35,33A,1,0.0,369.0,15567.0,15936.0,369.0
Actros,Actros_30,34B,2,644.0,1623.0,14338.0,15961.0,1623.0
Atego,Atego_46,30A,1,0.0,314.0,15694.0,16008.0,314.0
Atego,Atego_36,32C,1,2131.0,544.0,15567.0,16111.0,544.0
Actros,Actros_45,30B,2,0.0,752.0,15364.0,16116.0,752.0
Atego,Atego_44,32A,1,84.0,414.0,15746.0,16160.0,414.0
Atego (ATP),Atego (ATP)_42,32D,2,0.0,588.0,15587.0,16175.0,588.0
Accelo,Accelo_47,30A,1,0.0,253.0,16024.0,16277.0,253.0
Actros,Actros_30,39,2,0.0,354.0,15961.0,16315.0,354.0
Atego,Atego_46,31A,1,0.0,314.0,16008.0,16322.0,314.0
Atego (ATP),Atego (ATP)_33,34B,2,1754.0,395.0,15961.0,16356.0,395.0
Atego (ATP),Atego (ATP)_33,39,2,0.0,120.0,16356.0,16476.0,120.0
Atego,Atego_36,33A,1,0.0,428.0,16111.0,16539.0,428.0
