modelo,nome,posto,entrada,saida,duracao,perna
Atego,Atego_1,30A,330.0,644.0,314.0,1
Atego,Atego_1,31A,644.0,958.0,314.0,1
Accelo,Accelo_3,30A,990.0,1243.0,253.0,1
Atego,Atego_1,32A,958.0,1372.0,414.0,1
Arocs,Arocs_2,30B,660.0,1412.0,752.0,2
Accelo,Accelo_3,31A,1243.0,1559.0,316.0,1
Atego (ATP),Atego (ATP)_4,30A,1320.0,1646.0,326.0,1
Accelo,Accelo_3,32A,1559.0,1913.0,354.0,1
Arocs,Arocs_2,31B,1412.0,1967.0,555.0,2
Atego (ATP),Atego (ATP)_4,31A,1646.0,1976.0,330.0,1
Atego (ATP),Atego (ATP)_5,30B,1650.0,1976.0,326.0,2
Atego,Atego_1,32C,1372.0,2074.0,702.0,1
Atego,Atego_6,30A,1980.0,2294.0,314.0,1
Atego (ATP),Atego (ATP)_5,31B,1976.0,2306.0,330.0,2
Atego,Atego_1,33A,2074.0,2502.0,428.0,1
Atego,Atego_6,31A,2294.0,2608.0,314.0,1
Atego (ATP),Atego (ATP)_11,30B,2310.0,2636.0,326.0,2
Atego (ATP),Atego (ATP)_4,32A,1976.0,2653.0,677.0,1
Accelo,Accelo_3,32C,1913.0,2787.0,874.0,1
Arocs,Arocs_2,32B,1967.0,2932.0,965.0,2
Atego (ATP),Atego (ATP)_11,31B,2636.0,2966.0,330.0,2
Atego,Atego_6,32A,2608.0,3067.0,459.0,1
Accelo,Accelo_3,33A,2787.0,3156.0,369.0,1
Atego,Atego_1,34A,2502.0,3423.0,921.0,1
Atego (ATP),Atego (ATP)_5,32B,2306.0,3489.0,1183.0,2
Arocs,Arocs_12,32C,2640.0,3775.0,1135.0,1
Arocs,Arocs_2,32D,2932.0,3920.0,988.0,2
Atego (ATP),Atego (ATP)_11,32B,2966.0,4046.0,1080.0,2
Atego,Atego_1,38,3423.0,4056.0,633.0,1
Arocs,Arocs_12,33A,3775.0,4182.0,407.0,1
Accelo,Accelo_16,30A,3958.0,4211.0,253.0,1
Accelo,Accelo_3,34A,3156.0,4359.0,1203.0,1
Accelo,Accelo_16,31A,4211.0,4527.0,316.0,1
Arocs,Arocs_12,34A,4182.0,4828.0,646.0,1
Accelo,Accelo_16,32A,4527.0,4881.0,354.0,1
Arocs,Arocs_2,33B,3920.0,4909.666666666667,989.666666666667,2
Atego,Atego_20,30A,4618.0,4932.0,314.0,1
Accelo,Accelo_3,38,4359.0,4992.0,633.0,1
Actros,Actros_18,30B,4288.0,5040.0,752.0,2
Atego,Atego_20,31A,4932.0,5246.0,314.0,1
Atego (ATP),Atego (ATP)_4,32C,2653.0,5261.0,2608.0,1
Atego (ATP),Atego (ATP)_21,30A,4948.0,5274.0,326.0,1
Atego (ATP),Atego (ATP)_5,32D,3489.0,5286.0,1797.0,2
Accelo,Accelo_23,30B,5278.0,5531.0,253.0,2
Actros,Actros_18,31B,5040.0,5595.0,555.0,2
Atego (ATP),Atego (ATP)_21,31A,5274.0,5604.0,330.0,1
Atego (ATP),Atego (ATP)_4,33A,5261.0,5637.0,376.0,1
Atego,Atego_20,32A,5246.0,5660.0,414.0,1
Atego (ATP),Atego (ATP)_5,33B,5286.0,5782.0,496.0,2
Accelo,Accelo_23,31B,5531.0,5911.0,380.0,2
Atego,Atego_6,32C,3067.0,5963.0,2896.0,1
Atego (ATP),Atego (ATP)_21,32A,5604.0,6337.0,733.0,1
Atego,Atego_6,33A,5963.0,6391.0,428.0,1
Actros,Actros_18,32B,5595.0,6560.0,965.0,2
Atego (ATP),Atego (ATP)_4,34A,5637.0,6562.0,925.0,1
Atego (ATP),Atego (ATP)_11,32D,4046.0,6652.0,2606.0,2
Accelo,Accelo_23,32B,5911.0,6795.0,884.0,2
Actros,Actros_14,32C,3628.0,6951.0,3323.0,1
Atego (ATP),Atego (ATP)_11,33B,6652.0,7148.0,496.0,2
Atego (ATP),Atego (ATP)_4,38,6562.0,7195.0,633.0,1
Atego,Atego_26,30A,6926.0,7240.0,314.0,1
Arocs,Arocs_2,34B,4909.666666666667,7321.333333333334,2411.666666666667,2
Actros,Actros_14,33A,6951.0,7358.0,407.0,1
Atego,Atego_6,34A,6391.0,7483.0,1092.0,1
Atego,Atego_26,31A,7240.0,7554.0,314.0,1
Actros,Actros_18,32D,6560.0,7640.0,1080.0,2
Accelo,Accelo_16,32C,4881.0,7664.0,2783.0,1
Accelo,Accelo_30,30A,7586.0,7839.0,253.0,1
Arocs,Arocs_2,39,7321.333333333334,7904.000000000001,582.666666666667,2
Actros,Actros_14,34A,7358.0,7952.0,594.0,1
Atego,Atego_26,32A,7554.0,7968.0,414.0,1
Arocs,Arocs_27,30B,7256.0,8008.0,752.0,2
Accelo,Accelo_16,33A,7664.0,8033.0,369.0,1
Atego,Atego_6,38,7483.0,8116.0,633.0,1
Accelo,Accelo_30,31A,7839.0,8155.0,316.0,1
Atego,Atego_33,30A,7916.0,8230.0,314.0,1
Accelo,Accelo_23,32D,6795.0,8234.0,1439.0,2
Accelo,Accelo_30,32A,8155.0,8509.0,354.0,1
Atego (ATP),Atego (ATP)_5,34B,5782.0,8518.666666666668,2736.666666666668,2
Atego,Atego_33,31A,8230.0,8544.0,314.0,1
Arocs,Arocs_27,31B,8008.0,8563.0,555.0,2
Actros,Actros_24,32C,5608.0,8652.0,3044.0,1
Actros,Actros_18,33B,7640.0,8755.0,1115.0,2
Atego,Atego_33,32A,8544.0,8958.0,414.0,1
Accelo,Accelo_16,34A,8033.0,8969.0,936.0,1
Actros,Actros_36,30B,8246.0,8998.0,752.0,2
Actros,Actros_24,33A,8652.0,9059.0,407.0,1
Atego (ATP),Atego (ATP)_40,30A,8906.0,9232.0,326.0,1
Accelo,Accelo_23,33B,8234.0,9243.0,1009.0,2
Atego,Atego_20,32C,5660.0,9354.0,3694.0,1
Atego (ATP),Atego (ATP)_5,39,8518.666666666668,9424.000000000002,905.3333333333339,2
Arocs,Arocs_27,32B,8563.0,9528.0,965.0,2
Actros,Actros_24,34A,9059.0,9528.0,469.0,1
Actros,Actros_36,31B,8998.0,9553.0,555.0,2
Atego (ATP),Atego (ATP)_40,31A,9232.0,9562.0,330.0,1
Accelo,Accelo_16,38,8969.0,9602.0,633.0,1
Atego (ATP),Atego (ATP)_11,34B,7148.0,9716.000000000002,2568.000000000002,2
Atego,Atego_20,33A,9354.0,9782.0,428.0,1
Actros,Actros_44,30B,9236.0,9988.0,752.0,2
Accelo,Accelo_47,30A,9896.0,10149.0,253.0,1
Atego (ATP),Atego (ATP)_40,32A,9562.0,10239.0,677.0,1
Accelo,Accelo_47,31A,10149.0,10465.0,316.0,1
Arocs,Arocs_27,32D,9528.0,10516.0,988.0,2
Actros,Actros_36,32B,9553.0,10518.0,965.0,2
Atego,Atego_48,30B,10226.0,10540.0,314.0,2
Actros,Actros_44,31B,9988.0,10543.0,555.0,2
Atego (ATP),Atego (ATP)_11,39,9716.000000000002,10621.333333333336,905.3333333333339,2
Atego,Atego_20,34A,9782.0,10703.0,921.0,1
Accelo,Accelo_51,30A,10556.0,10809.0,253.0,1
Accelo,Accelo_47,32A,10465.0,10819.0,354.0,1
Atego (ATP),Atego (ATP)_21,32C,6337.0,10840.0,4503.0,1
Atego,Atego_48,31B,10540.0,10857.0,317.0,2
Accelo,Accelo_51,31A,10809.0,11125.0,316.0,1
Atego (ATP),Atego (ATP)_21,33A,10840.0,11216.0,376.0,1
Atego,Atego_20,38,10703.0,11336.0,633.0,1
Accelo,Accelo_55,30A,11216.0,11469.0,253.0,1
Accelo,Accelo_51,32A,11125.0,11479.0,354.0,1
Arocs,Arocs_27,33B,10516.0,11505.666666666666,989.6666666666661,2
Actros,Actros_36,32D,10518.0,11506.0,988.0,2
Actros,Actros_44,32B,10543.0,11508.0,965.0,2
Actros,Actros_54,30B,10886.0,11638.0,752.0,2
Accelo,Accelo_55,31A,11469.0,11785.0,316.0,1
Accelo,Accelo_57,30A,11546.0,11799.0,253.0,1
Atego,Atego_48,32B,10857.0,11802.0,945.0,2
Actros,Actros_25,32C,6596.0,11828.0,5232.0,1
Accelo,Accelo_57,31A,11799.0,12115.0,316.0,1
Accelo,Accelo_55,32A,11785.0,12139.0,354.0,1
Atego (ATP),Atego (ATP)_21,34A,11216.0,12141.0,925.0,1
Actros,Actros_54,31B,11638.0,12193.0,555.0,2
Atego (ATP),Atego (ATP)_58,30B,11876.0,12202.0,326.0,2
