modelo,nome,posto,perna,fila,processo,entrada,saida,duracao
Atego,Atego_19,32C,1,1575.0,544.0,10098.0,10642.0,544.0
Atego (ATP),Atego (ATP)_28,31A,1,0.0,330.0,10318.0,10648.0,330.0
Accelo,Accelo_27,32A,1,151.0,354.0,10382.0,10736.0,354.0
Atego quinta roda,Atego quinta roda_23,32D,2,0.0,588.0,10181.0,10769.0,588.0
Accelo,Accelo_29,31A,1,73.0,316.0,10648.0,10964.0,316.0
Atego,Atego_19,33A,1,0.0,428.0,10642.0,11070.0,428.0
Atego,Atego_15,38,1,0.0,633.0,10503.0,11136.0,633.0
Atego quinta roda,Atego quinta roda_23,33B,2,0.0,376.0,10769.0,11145.0,376.0
Atego (ATP),Atego (ATP)_17,34A,1,573.0,650.0,10503.0,11153.0,650.0
Atego,Atego_21,32C,1,1705.0,544.0,10642.0,11186.0,544.0
Actros,Actros_25,32B,2,0.0,965.0,10309.0,11274.0,965.0
Actros,Actros_30,30B,2,0.0,752.0,10652.0,11404.0,752.0
Atego (ATP),Atego (ATP)_28,32A,1,88.0,677.0,10736.0,11413.0,677.0
Actros,Actros_25,32D,2,0.0,247.0,11274.0,11521.0,247.0
Atego,Atego_21,33A,1,0.0,428.0,11186.0,11614.0,428.0
Atego quinta roda,Atego quinta roda_31,30B,2,0.0,326.0,11404.0,11730.0,326.0
Accelo,Accelo_29,32A,1,449.0,354.0,11413.0,11767.0,354.0
Atego (ATP),Atego (ATP)_17,38,1,0.0,633.0,11153.0,11786.0,633.0
Atego,Atego_18,34A,1,627.0,646.0,11153.0,11799.0,646.0
Actros,Actros_30,31B,2,0.0,555.0,11404.0,11959.0,555.0
Atego (ATP),Atego (ATP)_22,32C,1,1572.0,815.0,11186.0,12001.0,815.0
Atego,Atego_32,30A,1,0.0,314.0,11734.0,12048.0,314.0
Actros,Actros_20,34B,2,0.0,1623.0,10632.0,12255.0,1623.0
Actros,Actros_25,33B,2,0.0,761.0,11521.0,12282.0,761.0
Atego quinta roda,Atego quinta roda_31,31B,2,229.0,330.0,11959.0,12289.0,330.0
Atego,Atego_32,31A,1,0.0,314.0,12048.0,12362.0,314.0
Atego (ATP),Atego (ATP)_22,33A,1,0.0,376.0,12001.0,12377.0,376.0
Atego (ATP),Atego (ATP)_33,30A,1,0.0,326.0,12064.0,12390.0,326.0
Atego,Atego_18,38,1,0.0,633.0,11799.0,12432.0,633.0
Atego,Atego_19,34A,1,729.0,646.0,11799.0,12445.0,646.0
Atego,Atego_24,32C,1,1973.0,544.0,12001.0,12545.0,544.0
Actros,Actros_20,39,2,0.0,354.0,12255.0,12609.0,354.0
Accelo,Accelo_34,30A,1,0.0,253.0,12394.0,12647.0,253.0
Atego quinta roda,Atego quinta roda_23,34B,2,1110.0,395.0,12255.0,12650.0,395.0
