modelo,nome,posto,entrada,saida,duracao,perna
Atego (ATP),Atego (ATP)_0,30A,330.0,656.0,326.0,1
Accelo,Accelo_1,30B,660.0,913.0,253.0,2
Atego (ATP),Atego (ATP)_0,31A,656.0,986.0,330.0,1
Accelo,Accelo_1,31B,913.0,1229.0,316.0,2
Atego,Atego_2,30A,990.0,1304.0,314.0,1
Accelo,Accelo_1,32B,1229.0,1464.0,235.0,2
Atego,Atego_2,31A,1304.0,1618.0,314.0,1
Atego,Atego_3,30B,1320.0,1634.0,314.0,2
Atego (ATP),Atego (ATP)_0,32A,986.0,1663.0,677.0,1
Atego,Atego_3,31B,1634.0,1948.0,314.0,2
Atego,Atego_4,30A,1650.0,1964.0,314.0,1
Accelo,Accelo_1,32D,1464.0,2058.0,594.0,2
Atego,Atego_2,32A,1618.0,2077.0,459.0,1
Atego,Atego_3,32B,1948.0,2242.0,294.0,2
Atego,Atego_4,31A,1964.0,2278.0,314.0,1
Atego,Atego_5,30B,1980.0,2294.0,314.0,2
Accelo,Accelo_1,33B,2058.0,2546.0,488.0,2
Atego,Atego_5,31B,2294.0,2608.0,314.0,2
Atego (ATP),Atego (ATP)_6,30A,2310.0,2636.0,326.0,1
Atego,Atego_4,32A,2278.0,2692.0,414.0,1
Atego,Atego_3,32D,2242.0,2824.0,582.0,2
Atego,Atego_5,32B,2608.0,2902.0,294.0,2
Atego,Atego_7,30B,2640.0,2954.0,314.0,2
Atego (ATP),Atego (ATP)_6,31A,2636.0,2966.0,330.0,1
Atego (ATP),Atego (ATP)_0,32C,1663.0,3149.0,1486.0,1
Accelo,Accelo_8,30A,2970.0,3223.0,253.0,1
Atego,Atego_7,31B,2954.0,3268.0,314.0,2
Atego,Atego_3,33B,2824.0,3372.0,548.0,2
Atego,Atego_5,32D,2902.0,3484.0,582.0,2
Atego (ATP),Atego (ATP)_0,33A,3149.0,3525.0,376.0,1
Accelo,Accelo_8,31A,3223.0,3539.0,316.0,1
Atego,Atego_7,32B,3268.0,3562.0,294.0,2
Atego,Atego_9,30B,3300.0,3614.0,314.0,2
Atego (ATP),Atego (ATP)_6,32A,2966.0,3643.0,677.0,1
Accelo,Accelo_1,34B,2546.0,3752.3333333333335,1206.3333333333335,2
Atego,Atego_2,32C,2077.0,3851.0,1774.0,1
Atego,Atego_9,31B,3614.0,3928.0,314.0,2
Atego,Atego_11,30A,3630.0,3944.0,314.0,1
