c.c.;Posto;Descrição;C951102;C951104;C951111;C951500;C951501;C951511;C951514;C951530;C951544;C963403;C963411;C963414;C963424;C963425;C964016;C964231;C964416;C968114;C968403;C968450;C968461
121.4;VHLP07;TECALON/CHICOTE                     ;89,64;89,54;111,33;125,57;119,52;139,25;132,08;149,85;161,39;241,68;163,67;186,15;347,69;276,46;272,19;289,78;261,87;101,84;142,17;79,85;124,22
121.4;VHSQ03;SEQUENCIAMENTO PECAS FECHAMENTO DE QUADRO;2,38;2,38;2,38;1,50;1,50;1,50;1,50;1,50;1,50;7,68;7,68;7,68;7,68;7,68;2,00;2,00;2,00;7,68;7,68;7,68;7,68
121.4;VHSQ06;SEQUENCIAMENTO COXIM                     ;1,40;1,40;1,40;2,00;2,00;2,00;2,00;2,00;2,00;4,38;4,38;4,38;4,38;4,38;2,00;2,00;2,00;4,38;4,38;4,38;4,38
121.4;VHSQ07;SEQUENCIAMENTO SUPORTE AMORTECEDOR       ;1,40;1,40;1,40;2,00;2,00;2,00;2,00;2,00;2,00;2,22;2,22;2,22;2,22;2,22;2,00;2,00;2,00;2,22;2,22;2,22;2,22
121.4;VHSQ08;SEQUENCIAMENTO BATENTE                   ;1,40;1,40;1,40;2,00;2,00;2,00;2,00;2,00;2,00;5,58;5,58;5,58;5,58;5,58;2,00;2,00;2,00;5,58;5,58;5,58;5,58
121.4;VHSQ09;SEQUENCIAMENTO SUPORTE DA CABINA         ;1,40;1,40;1,40;2,00;2,00;2,00;2,00;2,00;2,00;9,92;9,92;9,92;9,92;9,92;2,00;2,00;2,00;9,92;9,92;9,92;9,92
122.4;;;104,58;104,58;170,76;86,34;86,34;176,34;180,24;313,62;308,70;4,98;7,68;4,98;4,98;4,98;348,00;187,98;348,00;11,62;10,83;4,98;7,68
122.4;;;0,00;0,00;0,00;0,48;0,48;0,48;0,48;0,48;0,48;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,96;0,96;0,00;0,00
122.4;;;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
122.4;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,43;1,43
122.4;VHDE01;SUBIDA EIXO PARA LINHA(ICAMENTO)     ;3,90;3,90;3,90;2,28;2,28;2,28;2,28;2,28;2,28;1,75;1,75;1,75;1,75;1,75;0,00;0,00;0,00;1,75;1,75;1,75;1,75
122.4;VHDM01;FORMACAO DE KITS SUSPENSAO METALICA  ;0,00;1,50;3,50;3,18;3,18;3,18;4,68;3,18;3,18;4,00;6,00;4,00;4,00;4,00;4,00;8,00;4,00;3,00;3,00;4,00;6,00
122.4;VHDM02;POSICIONAMENTO DE MOLAS              ;1,50;1,50;0,00;3,00;4,21;4,71;0,00;7,00;7,43;2,52;2,52;2,52;2,52;2,52;5,52;6,00;5,52;3,50;0,00;2,52;2,52
