modelo,nome,posto,entrada,saida,duracao,perna
Atego (ATP),Atego (ATP)_6,34A,13612.0,15086.5,1474.5,1
Atego,Atego_8,32C,10102.0,15095.0,4993.0,1
Atego,Atego_43,31A,14834.0,15160.0,326.0,1
Atego,Atego_44,30A,14850.0,15164.0,314.0,1
Atego,Atego_7,33A,13515.5,15376.0,1860.5,1
Atego,Atego_44,31A,15164.0,15478.0,314.0,1
Atego,Atego_14,32A,5578.0,15574.0,9996.0,1
Atego,Atego_46,30A,15510.0,15824.0,314.0,1
Actros,Actros_45,30B,15180.0,15932.0,752.0,2
Accelo,Accelo_47,30A,15840.0,16093.0,253.0,1
Atego (ATP),Atego (ATP)_6,38,15086.5,16107.5,1021.0,1
Atego,Atego_46,31A,15824.0,16138.0,314.0,1
Actros,Actros_4,39,14048.0,16172.0,2124.0,2
Accelo,Accelo_48,30A,16170.0,16423.0,253.0,1
Accelo,Accelo_47,31A,16093.0,16454.0,361.0,1
Actros,Actros_45,31B,15932.0,16487.0,555.0,2
Accelo,Accelo_9,32C,11170.0,16674.0,5504.0,1
Atego,Atego_15,32A,5908.0,16708.0,10800.0,1
Accelo,Accelo_48,31A,16423.0,16770.0,347.0,1
Atego (ATP),Atego (ATP)_49,30A,16500.0,16826.0,326.0,1
Atego,Atego_7,34A,15376.0,16842.5,1466.5,1
Accelo,Accelo_50,30A,16830.0,17083.0,253.0,1
Atego,Atego_8,33A,15095.0,17140.0,2045.0,1
Atego (ATP),Atego (ATP)_49,31A,16826.0,17156.0,330.0,1
Actros,Actros_45,32B,16487.0,17452.0,965.0,2
Accelo,Accelo_50,31A,17083.0,17472.0,389.0,1
Atego,Atego_51,30A,17160.0,17474.0,314.0,1
Accelo,Accelo_52,30A,17490.0,17743.0,253.0,1
Atego,Atego_51,31A,17474.0,17788.0,314.0,1
Atego,Atego_16,32A,6238.0,17842.0,11604.0,1
Atego,Atego_7,38,16842.5,17863.5,1021.0,1
Accelo,Accelo_53,30A,17820.0,18073.0,253.0,1
Accelo,Accelo_52,31A,17743.0,18104.0,361.0,1
Atego,Atego_10,32C,12304.0,18253.5,5949.5,1
Actros,Actros_25,33B,11840.0,18290.0,6450.0,2
Accelo,Accelo_53,31A,18073.0,18420.0,347.0,1
Actros,Actros_45,32D,17452.0,18440.0,988.0,2
Atego (ATP),Atego (ATP)_54,30A,18150.0,18476.0,326.0,1
Atego,Atego_8,34A,17140.0,18606.5,1466.5,1
Accelo,Accelo_9,33A,16674.0,18723.0,2049.0,1
Atego,Atego_55,30A,18480.0,18794.0,314.0,1
Atego (ATP),Atego (ATP)_54,31A,18476.0,18806.0,330.0,1
Atego,Atego_55,31A,18794.0,19120.0,326.0,1
Atego,Atego_56,30A,18810.0,19124.0,314.0,1
Atego (ATP),Atego (ATP)_17,32A,6596.0,19239.0,12643.0,1
Atego,Atego_56,31A,19124.0,19438.0,314.0,1
Atego,Atego_8,38,18606.5,19627.5,1021.0,1
Accelo,Accelo_58,30A,19470.0,19723.0,253.0,1
Accelo,Accelo_11,32C,13372.0,19832.5,6460.5,1
Actros,Actros_12,34B,11600.0,19841.0,8241.0,2
Actros,Actros_57,30B,19140.0,19892.0,752.0,2
Accelo,Accelo_58,31A,19723.0,20039.0,316.0,1
Atego (ATP),Atego (ATP)_59,30A,19800.0,20126.0,326.0,1
Accelo,Accelo_9,34A,18723.0,20199.0,1476.0,1
Atego,Atego_18,32A,6910.0,20373.0,13463.0,1
Atego,Atego_60,30A,20130.0,20444.0,314.0,1
Actros,Actros_57,31B,19892.0,20447.0,555.0,2
Atego (ATP),Atego (ATP)_59,31A,20126.0,20456.0,330.0,1
Atego,Atego_10,33A,18253.5,20487.0,2233.5,1
Atego,Atego_60,31A,20444.0,20770.0,326.0,1
Atego,Atego_62,30A,20790.0,21104.0,314.0,1
Actros,Actros_61,30B,20460.0,21212.0,752.0,2
Accelo,Accelo_9,38,20199.0,21220.0,1021.0,1
Accelo,Accelo_13,32C,14440.0,21411.5,6971.5,1
Actros,Actros_57,32B,20447.0,21412.0,965.0,2
Atego,Atego_62,31A,21104.0,21418.0,314.0,1
Atego (ATP),Atego (ATP)_63,30A,21120.0,21446.0,326.0,1
Atego,Atego_19,32A,7228.0,21507.0,14279.0,1
Actros,Actros_30,33B,13490.0,21635.0,8145.0,2
Atego,Atego_64,30A,21450.0,21764.0,314.0,1
Actros,Actros_61,31B,21212.0,21767.0,555.0,2
Atego (ATP),Atego (ATP)_63,31A,21446.0,21776.0,330.0,1
Atego,Atego_10,34A,20487.0,21953.5,1466.5,1
Actros,Actros_12,39,19841.0,21965.0,2124.0,2
Accelo,Accelo_11,33A,19832.5,22070.0,2237.5,1
Atego,Atego_64,31A,21764.0,22090.0,326.0,1
Actros,Actros_57,32D,21412.0,22400.0,988.0,2
Atego,Atego_66,30A,22110.0,22424.0,314.0,1
Actros,Actros_65,30B,21780.0,22532.0,752.0,2
Atego,Atego_21,32A,7888.0,22641.0,14753.0,1
Actros,Actros_61,32B,21767.0,22732.0,965.0,2
Atego,Atego_66,31A,22424.0,22738.0,314.0,1
Atego,Atego_67,30A,22440.0,22754.0,314.0,1
Atego,Atego_10,38,21953.5,22974.5,1021.0,1
Atego,Atego_14,32C,15574.0,22991.0,7417.0,1
Atego,Atego_67,31A,22754.0,23068.0,314.0,1
Actros,Actros_65,31B,22532.0,23087.0,555.0,2
Atego (ATP),Atego (ATP)_68,30A,22770.0,23096.0,326.0,1
Atego (ATP),Atego (ATP)_68,31A,23096.0,23426.0,330.0,1
Accelo,Accelo_11,34A,22070.0,23546.0,1476.0,1
Accelo,Accelo_13,33A,21411.5,23653.0,2241.5,1
Accelo,Accelo_70,30A,23430.0,23683.0,253.0,1
Actros,Actros_61,32D,22732.0,23720.0,988.0,2
Actros,Actros_69,30B,23100.0,23852.0,752.0,2
Accelo,Accelo_70,31A,23683.0,23999.0,316.0,1
Atego (ATP),Atego (ATP)_22,32A,8246.0,24038.0,15792.0,1
Actros,Actros_65,32B,23087.0,24052.0,965.0,2
Atego,Atego_71,30A,23760.0,24074.0,314.0,1
Atego,Atego_71,31A,24074.0,24388.0,314.0,1
Actros,Actros_69,31B,23852.0,24407.0,555.0,2
Accelo,Accelo_11,38,23546.0,24567.0,1021.0,1
Atego,Atego_15,32C,16708.0,24570.5,7862.5,1
Accelo,Accelo_73,30A,24420.0,24673.0,253.0,1
Actros,Actros_72,30B,24090.0,24842.0,752.0,2
Actros,Actros_45,33B,18440.0,24980.0,6540.0,2
Accelo,Accelo_73,31A,24673.0,24989.0,316.0,1
Actros,Actros_65,32D,24052.0,25040.0,988.0,2
Atego,Atego_74,30A,24750.0,25064.0,314.0,1
Accelo,Accelo_13,34A,23653.0,25129.0,1476.0,1
Atego,Atego_23,32A,8560.0,25172.0,16612.0,1
