modelo,nome,posto,entrada,saida,duracao,perna
Accelo,Accelo_0,30A,330.0,583.0,253.0,1
Accelo,Accelo_0,31A,583.0,899.0,316.0,1
Atego (ATP),Atego (ATP)_1,30B,660.0,986.0,326.0,2
Accelo,Accelo_2,30A,990.0,1243.0,253.0,1
Atego (ATP),Atego (ATP)_1,31B,986.0,1316.0,330.0,2
Accelo,Accelo_2,31A,1243.0,1559.0,316.0,1
Atego (ATP),Atego (ATP)_1,32B,1316.0,1873.0,557.0,2
Accelo,Accelo_0,32A,899.0,1967.0,1068.0,1
Actros,Actros_3,30B,1320.0,2072.0,752.0,2
Atego quinta roda,Atego quinta roda_4,30B,2072.0,2398.0,326.0,2
Actros,Actros_3,31B,2072.0,2627.0,555.0,2
Accelo,Accelo_5,30A,2402.0,2655.0,253.0,1
Atego quinta roda,Atego quinta roda_4,31B,2398.0,2957.0,559.0,2
Accelo,Accelo_5,31A,2655.0,2971.0,316.0,1
Accelo,Accelo_2,32A,1559.0,3035.0,1476.0,1
Atego (ATP),Atego (ATP)_6,30B,2732.0,3058.0,326.0,2
Atego (ATP),Atego (ATP)_6,31B,3058.0,3388.0,330.0,2
Atego quinta roda,Atego quinta roda_7,30B,3062.0,3388.0,326.0,2
Actros,Actros_3,32B,2627.0,3592.0,965.0,2
Accelo,Accelo_0,32C,1967.0,3698.0,1731.0,1
Atego,Atego_8,30A,3392.0,3706.0,314.0,1
Atego quinta roda,Atego quinta roda_7,31B,3388.0,3718.0,330.0,2
Accelo,Accelo_9,30A,3722.0,3975.0,253.0,1
Atego (ATP),Atego (ATP)_1,32D,1873.0,4015.0,2142.0,2
Atego,Atego_8,31A,3706.0,4020.0,314.0,1
Accelo,Accelo_5,32A,2971.0,4103.0,1132.0,1
Atego quinta roda,Atego quinta roda_4,32B,2957.0,4149.0,1192.0,2
Accelo,Accelo_10,30A,4052.0,4305.0,253.0,1
Accelo,Accelo_9,31A,3975.0,4336.0,361.0,1
Accelo,Accelo_11,30A,4382.0,4635.0,253.0,1
Accelo,Accelo_10,31A,4305.0,4652.0,347.0,1
Atego (ATP),Atego (ATP)_6,32B,3388.0,4706.0,1318.0,2
Accelo,Accelo_11,31A,4635.0,4968.0,333.0,1
Actros,Actros_3,32D,3592.0,5003.0,1411.0,2
Atego (ATP),Atego (ATP)_12,30B,4712.0,5038.0,326.0,2
Atego,Atego_8,32A,4020.0,5237.0,1217.0,1
Atego quinta roda,Atego quinta roda_7,32B,3718.0,5263.0,1545.0,2
Accelo,Accelo_0,33A,3698.0,5281.0,1583.0,1
Atego (ATP),Atego (ATP)_12,31B,5038.0,5368.0,330.0,2
Atego quinta roda,Atego quinta roda_13,30B,5042.0,5368.0,326.0,2
Accelo,Accelo_2,32C,3035.0,5429.0,2394.0,1
Atego 8x2 e 8x4,Atego 8x2 e 8x4_14,30B,5372.0,5686.0,314.0,2
Atego quinta roda,Atego quinta roda_13,31B,5368.0,5698.0,330.0,2
Atego (ATP),Atego (ATP)_1,33B,4015.0,5743.0,1728.0,2
Atego (ATP),Atego (ATP)_12,32B,5368.0,5925.0,557.0,2
Atego 8x2 e 8x4,Atego 8x2 e 8x4_14,31B,5686.0,6012.0,326.0,2
Atego quinta roda,Atego quinta roda_15,30B,5702.0,6028.0,326.0,2
Accelo,Accelo_9,32A,4336.0,6305.0,1969.0,1
Atego quinta roda,Atego quinta roda_15,31B,6028.0,6358.0,330.0,2
Atego quinta roda,Atego quinta roda_13,32B,5698.0,6482.0,784.0,2
Accelo,Accelo_17,30A,6362.0,6615.0,253.0,1
Atego 8x2 e 8x4,Atego 8x2 e 8x4_14,32B,6012.0,6776.0,764.0,2
Actros,Actros_16,30B,6032.0,6784.0,752.0,2
Accelo,Accelo_0,34A,5281.0,6909.0,1628.0,1
Accelo,Accelo_17,31A,6615.0,6931.0,316.0,1
Atego,Atego_18,30A,6692.0,7006.0,314.0,1
Accelo,Accelo_2,33A,5429.0,7012.0,1583.0,1
Atego quinta roda,Atego quinta roda_4,32D,4149.0,7145.0,2996.0,2
Accelo,Accelo_5,32C,4103.0,7160.0,3057.0,1
Atego,Atego_18,31A,7006.0,7320.0,314.0,1
Atego quinta roda,Atego quinta roda_15,32B,6358.0,7333.0,975.0,2
Actros,Actros_16,31B,6784.0,7339.0,555.0,2
Accelo,Accelo_10,32A,4652.0,7373.0,2721.0,1
Actros,Actros_19,30B,7022.0,7774.0,752.0,2
Accelo,Accelo_0,38,6909.0,7930.0,1021.0,1
Atego (ATP),Atego (ATP)_20,30B,7774.0,8100.0,326.0,2
Actros,Actros_16,32B,7339.0,8304.0,965.0,2
Actros,Actros_19,31B,7774.0,8329.0,555.0,2
Accelo,Accelo_21,30A,8104.0,8357.0,253.0,1
Accelo,Accelo_11,32A,4968.0,8441.0,3473.0,1
Accelo,Accelo_2,34A,7012.0,8640.0,1628.0,1
Atego (ATP),Atego (ATP)_20,31B,8100.0,8659.0,559.0,2
Accelo,Accelo_21,31A,8357.0,8673.0,316.0,1
Atego (ATP),Atego (ATP)_1,34B,5743.0,8682.333333333334,2939.333333333334,2
Accelo,Accelo_5,33A,7160.0,8743.0,1583.0,1
Atego,Atego_22,30A,8434.0,8748.0,314.0,1
Atego,Atego_8,32C,5237.0,8897.0,3660.0,1
Atego,Atego_22,31A,8748.0,9062.0,314.0,1
Atego (ATP),Atego (ATP)_6,32D,4706.0,9287.0,4581.0,2
Actros,Actros_19,32B,8329.0,9294.0,965.0,2
Accelo,Accelo_24,30A,9094.0,9347.0,253.0,1
Accelo,Accelo_17,32A,6931.0,9509.0,2578.0,1
Actros,Actros_23,30B,8764.0,9516.0,752.0,2
Accelo,Accelo_2,38,8640.0,9661.0,1021.0,1
Accelo,Accelo_24,31A,9347.0,9663.0,316.0,1
Atego,Atego_25,30A,9424.0,9738.0,314.0,1
Actros,Actros_3,33B,5003.0,9796.0,4793.0,2
Atego (ATP),Atego (ATP)_20,32B,8659.0,9851.0,1192.0,2
Atego,Atego_25,31A,9738.0,10052.0,314.0,1
Actros,Actros_23,31B,9516.0,10071.0,555.0,2
Atego (ATP),Atego (ATP)_26,30B,9754.0,10080.0,326.0,2
Accelo,Accelo_27,30A,10084.0,10337.0,253.0,1
Accelo,Accelo_5,34A,8743.0,10371.0,1628.0,1
Atego (ATP),Atego (ATP)_26,31B,10080.0,10410.0,330.0,2
Accelo,Accelo_9,32C,6305.0,10628.0,4323.0,1
Atego,Atego_18,32A,7320.0,10643.0,3323.0,1
Accelo,Accelo_27,31A,10337.0,10653.0,316.0,1
Atego,Atego_8,33A,8897.0,10661.0,1764.0,1
Atego,Atego_28,30A,10414.0,10728.0,314.0,1
Actros,Actros_23,32B,10071.0,11036.0,965.0,2
Atego,Atego_28,31A,10728.0,11042.0,314.0,1
Atego (ATP),Atego (ATP)_1,39,8682.333333333334,11231.666666666668,2549.333333333334,2
Accelo,Accelo_5,38,10371.0,11392.0,1021.0,1
Atego quinta roda,Atego quinta roda_7,32D,5263.0,11429.0,6166.0,2
Actros,Actros_29,30B,10744.0,11496.0,752.0,2
Atego quinta roda,Atego quinta roda_4,33B,7145.0,11524.0,4379.0,2
Atego (ATP),Atego (ATP)_26,32B,10410.0,11593.0,1183.0,2
Accelo,Accelo_21,32A,8673.0,11711.0,3038.0,1
Atego quinta roda,Atego quinta roda_30,30B,11496.0,11822.0,326.0,2
Actros,Actros_29,31B,11496.0,12051.0,555.0,2
Atego (ATP),Atego (ATP)_31,30B,11826.0,12152.0,326.0,2
Accelo,Accelo_9,33A,10628.0,12244.0,1616.0,1
Atego,Atego_8,34A,10661.0,12285.0,1624.0,1
Accelo,Accelo_10,32C,7373.0,12359.0,4986.0,1
Atego quinta roda,Atego quinta roda_30,31B,11822.0,12381.0,559.0,2
