modelo,nome,posto,entrada,saida,duracao,perna
Atego,Atego_1,30A,330.0,644.0,314.0,1
Atego,Atego_1,31A,644.0,958.0,314.0,1
Accelo,Accelo_3,30A,990.0,1243.0,253.0,1
Arocs,Arocs_2,30B,660.0,1412.0,752.0,2
Accelo,Accelo_3,31A,1243.0,1559.0,316.0,1
Atego (ATP),Atego (ATP)_4,30B,1412.0,1738.0,326.0,2
Arocs,Arocs_2,31B,1412.0,1967.0,555.0,2
Atego (ATP),Atego (ATP)_5,30B,1742.0,2068.0,326.0,2
Atego,Atego_1,32A,958.0,2092.0,1134.0,1
Atego (ATP),Atego (ATP)_4,31B,1738.0,2297.0,559.0,2
Atego,Atego_6,30A,2072.0,2386.0,314.0,1
Atego (ATP),Atego (ATP)_5,31B,2068.0,2627.0,559.0,2
Atego,Atego_6,31A,2386.0,2700.0,314.0,1
Atego quinta roda,Atego quinta roda_10,30B,2402.0,2728.0,326.0,2
Arocs,Arocs_2,32B,1967.0,2932.0,965.0,2
Atego quinta roda,Atego quinta roda_10,31B,2728.0,3058.0,330.0,2
Atego (ATP),Atego (ATP)_11,30B,2732.0,3058.0,326.0,2
Accelo,Accelo_3,32A,1559.0,3160.0,1601.0,1
Atego (ATP),Atego (ATP)_11,31B,3058.0,3388.0,330.0,2
Atego (ATP),Atego (ATP)_4,32B,2297.0,3489.0,1192.0,2
Arocs,Arocs_12,30B,3062.0,3814.0,752.0,2
Atego,Atego_1,32C,2092.0,3829.0,1737.0,1
Arocs,Arocs_2,32D,2932.0,3920.0,988.0,2
Atego (ATP),Atego (ATP)_5,32B,2627.0,4046.0,1419.0,2
Atego,Atego_6,32A,2700.0,4294.0,1594.0,1
Arocs,Arocs_12,31B,3814.0,4369.0,555.0,2
Actros,Actros_14,30B,3814.0,4566.0,752.0,2
Atego quinta roda,Atego quinta roda_10,32B,3058.0,4603.0,1545.0,2
Atego 8x2 e 8x4,Atego 8x2 e 8x4_15,30B,4566.0,4880.0,314.0,2
Actros,Actros_14,31B,4566.0,5121.0,555.0,2
Accelo,Accelo_16,30A,4896.0,5149.0,253.0,1
Atego (ATP),Atego (ATP)_11,32B,3388.0,5160.0,1772.0,2
Atego 8x2 e 8x4,Atego 8x2 e 8x4_15,31B,4880.0,5435.0,555.0,2
Accelo,Accelo_16,31A,5149.0,5465.0,316.0,1
Accelo,Accelo_3,32C,3160.0,5560.0,2400.0,1
Atego,Atego_1,33A,3829.0,5593.0,1764.0,1
Actros,Actros_18,30B,5226.0,5978.0,752.0,2
Arocs,Arocs_12,32B,4369.0,6125.0,1756.0,2
Atego quinta roda,Atego quinta roda_19,30B,5978.0,6304.0,326.0,2
Accelo,Accelo_16,32A,5465.0,6533.0,1068.0,1
Actros,Actros_18,31B,5978.0,6533.0,555.0,2
Atego,Atego_20,30A,6308.0,6622.0,314.0,1
Atego (ATP),Atego (ATP)_4,32D,3489.0,6652.0,3163.0,2
Atego quinta roda,Atego quinta roda_19,31B,6304.0,6863.0,559.0,2
Atego,Atego_20,31A,6622.0,6936.0,314.0,1
Atego (ATP),Atego (ATP)_21,30B,6638.0,6964.0,326.0,2
Actros,Actros_14,32B,5121.0,7090.0,1969.0,2
Accelo,Accelo_3,33A,5560.0,7176.0,1616.0,1
Atego,Atego_1,34A,5593.0,7217.0,1624.0,1
Accelo,Accelo_23,30A,6968.0,7221.0,253.0,1
Atego (ATP),Atego (ATP)_21,31B,6964.0,7294.0,330.0,2
Atego,Atego_6,32C,4294.0,7297.0,3003.0,1
Atego 8x2 e 8x4,Atego 8x2 e 8x4_15,32B,5435.0,7384.0,1949.0,2
Arocs,Arocs_2,33B,3920.0,7471.666666666666,3551.666666666666,2
Accelo,Accelo_23,31A,7221.0,7537.0,316.0,1
Actros,Actros_24,30B,7298.0,8050.0,752.0,2
Atego,Atego_20,32A,6936.0,8070.0,1134.0,1
Atego,Atego_1,38,7217.0,8238.0,1021.0,1
Actros,Actros_18,32B,6533.0,8349.0,1816.0,2
Actros,Actros_24,31B,8050.0,8605.0,555.0,2
Atego,Atego_26,30A,8380.0,8694.0,314.0,1
Actros,Actros_25,30B,8050.0,8802.0,752.0,2
Accelo,Accelo_3,34A,7176.0,8845.0,1669.0,1
Atego quinta roda,Atego quinta roda_19,32B,6863.0,8906.0,2043.0,2
Atego,Atego_26,31A,8694.0,9008.0,314.0,1
Accelo,Accelo_16,32C,6533.0,9028.0,2495.0,1
Atego,Atego_6,33A,7297.0,9061.0,1764.0,1
Accelo,Accelo_23,32A,7537.0,9138.0,1601.0,1
Atego (ATP),Atego (ATP)_4,33B,6652.0,9199.666666666666,2547.666666666666,2
Actros,Actros_25,31B,8802.0,9357.0,555.0,2
Atego (ATP),Atego (ATP)_5,32D,4046.0,9384.0,5338.0,2
Atego (ATP),Atego (ATP)_21,32B,7294.0,9463.0,2169.0,2
Arocs,Arocs_27,30B,8802.0,9554.0,752.0,2
Accelo,Accelo_3,38,8845.0,9866.0,1021.0,1
Atego quinta roda,Atego quinta roda_28,30B,9554.0,9880.0,326.0,2
Arocs,Arocs_27,31B,9554.0,10109.0,555.0,2
Atego quinta roda,Atego quinta roda_29,30B,9884.0,10210.0,326.0,2
Atego,Atego_26,32A,9008.0,10272.0,1264.0,1
Actros,Actros_24,32B,8605.0,10428.0,1823.0,2
Atego quinta roda,Atego quinta roda_28,31B,9880.0,10439.0,559.0,2
Accelo,Accelo_30,30A,10214.0,10467.0,253.0,1
Accelo,Accelo_16,33A,9028.0,10644.0,1616.0,1
Atego,Atego_6,34A,9061.0,10685.0,1624.0,1
Atego,Atego_20,32C,8070.0,10765.0,2695.0,1
Atego quinta roda,Atego quinta roda_29,31B,10210.0,10769.0,559.0,2
Accelo,Accelo_30,31A,10467.0,10783.0,316.0,1
Atego,Atego_33,30A,10544.0,10858.0,314.0,1
Atego (ATP),Atego (ATP)_5,33B,9384.0,11112.0,1728.0,2
Atego,Atego_33,31A,10858.0,11172.0,314.0,1
Actros,Actros_25,32B,9357.0,11393.0,2036.0,2
Actros,Actros_36,30B,10874.0,11626.0,752.0,2
Atego,Atego_6,38,10685.0,11706.0,1021.0,1
Accelo,Accelo_30,32A,10783.0,11851.0,1068.0,1
Atego quinta roda,Atego quinta roda_37,30B,11626.0,11952.0,326.0,2
Atego quinta roda,Atego quinta roda_10,32D,4603.0,12116.0,7513.0,2
Actros,Actros_36,31B,11626.0,12181.0,555.0,2
Accelo,Accelo_16,34A,10644.0,12313.0,1669.0,1
Arocs,Arocs_27,32B,10109.0,12358.0,2249.0,2
Accelo,Accelo_23,32C,9138.0,12496.0,3358.0,1
Atego quinta roda,Atego quinta roda_37,31B,11952.0,12511.0,559.0,2
Atego,Atego_20,33A,10765.0,12529.0,1764.0,1
Actros,Actros_39,30B,11956.0,12708.0,752.0,2
Atego quinta roda,Atego quinta roda_28,32B,10439.0,12915.0,2476.0,2
Atego,Atego_33,32A,11172.0,12985.0,1813.0,1
Arocs,Arocs_2,34B,7471.666666666666,12991.333333333332,5519.666666666666,2
Atego (ATP),Atego (ATP)_40,30B,12708.0,13034.0,326.0,2
Actros,Actros_39,31B,12708.0,13263.0,555.0,2
Accelo,Accelo_16,38,12313.0,13334.0,1021.0,1
Atego quinta roda,Atego quinta roda_29,32B,10769.0,13472.0,2703.0,2
Atego (ATP),Atego (ATP)_40,31B,13034.0,13593.0,559.0,2
Actros,Actros_44,30B,13038.0,13790.0,752.0,2
Atego quinta roda,Atego quinta roda_10,33B,12116.0,13844.0,1728.0,2
Accelo,Accelo_23,33A,12496.0,14112.0,1616.0,1
Atego,Atego_20,34A,12529.0,14153.0,1624.0,1
Atego,Atego_26,32C,10272.0,14233.0,3961.0,1
Actros,Actros_44,31B,13790.0,14345.0,555.0,2
Accelo,Accelo_47,30A,14120.0,14373.0,253.0,1
Actros,Actros_36,32B,12181.0,14437.0,2256.0,2
Actros,Actros_46,30B,13790.0,14542.0,752.0,2
Accelo,Accelo_47,31A,14373.0,14689.0,316.0,1
Atego,Atego_48,30A,14450.0,14764.0,314.0,1
Atego (ATP),Atego (ATP)_11,32D,5160.0,14848.0,9688.0,2
Atego quinta roda,Atego quinta roda_37,32B,12511.0,14994.0,2483.0,2
Accelo,Accelo_51,30A,14780.0,15033.0,253.0,1
Atego,Atego_48,31A,14764.0,15078.0,314.0,1
Actros,Actros_46,31B,14542.0,15097.0,555.0,2
Atego,Atego_20,38,14153.0,15174.0,1021.0,1
