modelo,nome,posto,entrada,saida,duracao,perna
Atego 8x2 e 8x4,Atego 8x2 e 8x4_100,32B,33031.0,33976.0,945.0,2
Atego,Atego_103,31A,33704.0,34018.0,314.0,1
Accelo,Accelo_35,38,33005.5,34026.5,1021.0,1
Atego,Atego_105,30A,33720.0,34034.0,314.0,1
Atego,Atego_105,31A,34034.0,34348.0,314.0,1
Atego,Atego_107,30A,34050.0,34364.0,314.0,1
Actros,Actros_86,32D,30382.0,34519.0,4137.0,2
Accelo,Accelo_38,34A,33112.5,34588.5,1476.0,1
Atego,Atego_107,31A,34364.0,34678.0,314.0,1
Atego 8x2 e 8x4,Atego 8x2 e 8x4_108,30B,34380.0,34694.0,314.0,2
Atego,Atego_43,32C,24126.0,34759.5,10633.5,1
Atego,Atego_41,33A,31600.5,34876.5,3276.0,1
Atego 8x2 e 8x4,Atego 8x2 e 8x4_108,31B,34694.0,35008.0,314.0,2
Atego,Atego_109,30A,34710.0,35024.0,314.0,1
Atego,Atego_64,32A,20688.0,35070.0,14382.0,1
Atego 8x2 e 8x4,Atego 8x2 e 8x4_108,32B,35008.0,35302.0,294.0,2
Atego,Atego_109,31A,35024.0,35338.0,314.0,1
Atego,Atego_111,30A,35040.0,35354.0,314.0,1
Actros,Actros_90,32D,31372.0,35507.0,4135.0,2
Accelo,Accelo_38,38,34588.5,35609.5,1021.0,1
Atego,Atego_111,31A,35354.0,35668.0,314.0,1
Atego,Atego_112,30A,35370.0,35684.0,314.0,1
Atego,Atego_112,31A,35684.0,35998.0,314.0,1
Atego,Atego_113,30A,35700.0,36014.0,314.0,1
Atego,Atego_65,32A,21018.0,36204.0,15186.0,1
Arocs,Arocs_9,39,33970.99999999999,36301.66666666666,2330.6666666666642,2
Atego,Atego_113,31A,36014.0,36328.0,314.0,1
Atego,Atego_47,32C,25260.0,36339.0,11079.0,1
Atego,Atego_41,34A,34876.5,36343.0,1466.5,1
Atego 8x2 e 8x4,Atego 8x2 e 8x4_95,32D,31672.0,36404.0,4732.0,2
Arocs,Arocs_20,33B,13147.0,36479.333333333336,23332.333333333336,2
Atego,Atego_42,33A,33180.0,36640.5,3460.5,1
Atego,Atego_116,30A,36360.0,36674.0,314.0,1
Arocs,Arocs_114,30B,36030.0,36782.0,752.0,2
Atego (ATP),Atego (ATP)_12,34B,26370.000000000004,36910.33333333333,10540.333333333325,2
Atego,Atego_116,31A,36674.0,36988.0,314.0,1
Arocs,Arocs_114,31B,36782.0,37337.0,555.0,2
Atego,Atego_67,32A,21348.0,37338.0,15990.0,1
Atego,Atego_41,38,36343.0,37364.0,1021.0,1
Accelo,Accelo_119,30A,37112.0,37365.0,253.0,1
Actros,Actros_97,32D,33682.0,37392.0,3710.0,2
Arocs,Arocs_117,30B,36782.0,37534.0,752.0,2
Accelo,Accelo_119,31A,37365.0,37681.0,316.0,1
Atego 8x2 e 8x4,Atego 8x2 e 8x4_120,30B,37534.0,37848.0,314.0,2
Accelo,Accelo_50,32C,26328.0,37918.0,11590.0,1
Arocs,Arocs_117,31B,37534.0,38089.0,555.0,2
Atego,Atego_42,34A,36640.5,38107.0,1466.5,1
Accelo,Accelo_121,30A,37864.0,38117.0,253.0,1
Atego 8x2 e 8x4,Atego 8x2 e 8x4_100,32D,33976.0,38289.0,4313.0,2
Arocs,Arocs_114,32B,37337.0,38302.0,965.0,2
Atego 8x2 e 8x4,Atego 8x2 e 8x4_120,31B,37848.0,38403.0,555.0,2
Atego,Atego_43,33A,34759.5,38404.5,3645.0,1
Accelo,Accelo_72,32A,23453.0,38406.0,14953.0,1
Accelo,Accelo_121,31A,38117.0,38433.0,316.0,1
Atego 8x2 e 8x4,Atego 8x2 e 8x4_122,30B,38194.0,38508.0,314.0,2
Accelo,Accelo_124,30A,38524.0,38777.0,253.0,1
Atego 8x2 e 8x4,Atego 8x2 e 8x4_122,31B,38508.0,38822.0,314.0,2
Accelo,Accelo_124,31A,38777.0,39093.0,316.0,1
Accelo,Accelo_125,30A,38854.0,39107.0,253.0,1
Atego,Atego_42,38,38107.0,39128.0,1021.0,1
Atego 8x2 e 8x4,Atego 8x2 e 8x4_108,32D,35302.0,39186.0,3884.0,2
Arocs,Arocs_117,32B,38089.0,39267.0,1178.0,2
Accelo,Accelo_125,31A,39107.0,39423.0,316.0,1
Atego (ATP),Atego (ATP)_12,39,36910.33333333333,39459.666666666664,2549.3333333333358,2
Accelo,Accelo_53,32C,27396.0,39497.0,12101.0,1
Atego,Atego_126,30A,39184.0,39498.0,314.0,1
Atego,Atego_78,32A,26098.0,39540.0,13442.0,1
Atego 8x2 e 8x4,Atego 8x2 e 8x4_120,32B,38403.0,39561.0,1158.0,2
Atego,Atego_126,31A,39498.0,39812.0,314.0,1
Atego,Atego_127,30A,39514.0,39828.0,314.0,1
Atego 8x2 e 8x4,Atego 8x2 e 8x4_13,34B,28562.000000000004,39841.666666666664,11279.66666666666,2
Atego 8x2 e 8x4,Atego 8x2 e 8x4_122,32B,38822.0,39855.0,1033.0,2
Atego,Atego_43,34A,38404.5,39871.0,1466.5,1
Accelo,Accelo_128,30A,39844.0,40097.0,253.0,1
Atego,Atego_127,31A,39828.0,40142.0,314.0,1
Atego,Atego_47,33A,36339.0,40168.5,3829.5,1
Arocs,Arocs_114,32D,38302.0,40174.0,1872.0,2
Arocs,Arocs_27,33B,14135.0,40438.0,26303.0,2
Accelo,Accelo_128,31A,40097.0,40458.0,361.0,1
Atego,Atego_79,32A,26428.0,40674.0,14246.0,1
Accelo,Accelo_130,30A,40504.0,40757.0,253.0,1
Atego,Atego_43,38,39871.0,40892.0,1021.0,1
Actros,Actros_129,30B,40174.0,40926.0,752.0,2
Accelo,Accelo_130,31A,40757.0,41073.0,316.0,1
Accelo,Accelo_56,32C,28464.0,41076.0,12612.0,1
Atego,Atego_131,30A,40834.0,41148.0,314.0,1
Arocs,Arocs_117,32D,39267.0,41162.0,1895.0,2
Accelo,Accelo_132,30A,41164.0,41417.0,253.0,1
Atego,Atego_131,31A,41148.0,41462.0,314.0,1
Actros,Actros_129,31B,40926.0,41481.0,555.0,2
Atego,Atego_47,34A,40168.5,41635.0,1466.5,1
Accelo,Accelo_50,33A,37918.0,41751.5,3833.5,1
Accelo,Accelo_132,31A,41417.0,41778.0,361.0,1
Atego,Atego_81,32A,27088.0,41808.0,14720.0,1
Atego (ATP),Atego (ATP)_133,30B,41494.0,41820.0,326.0,2
Atego 8x2 e 8x4,Atego 8x2 e 8x4_120,32D,39561.0,42059.0,2498.0,2
Atego,Atego_135,30A,41824.0,42138.0,314.0,1
Atego (ATP),Atego (ATP)_133,31B,41820.0,42150.0,330.0,2
Atego 8x2 e 8x4,Atego 8x2 e 8x4_13,39,39841.666666666664,42391.0,2549.3333333333358,2
Actros,Actros_129,32B,41481.0,42446.0,965.0,2
Atego,Atego_135,31A,42138.0,42452.0,314.0,1
Atego 8x2 e 8x4,Atego 8x2 e 8x4_28,33B,15032.0,42630.0,27598.0,2
Atego,Atego_59,32C,29598.0,42655.5,13057.5,1
Atego,Atego_47,38,41635.0,42656.0,1021.0,1
Atego,Atego_82,32A,27418.0,42942.0,15524.0,1
Atego 8x2 e 8x4,Atego 8x2 e 8x4_122,32D,39855.0,42956.0,3101.0,2
Atego (ATP),Atego (ATP)_133,32B,42150.0,43003.0,853.0,2
Accelo,Accelo_50,34A,41751.5,43227.5,1476.0,1
Accelo,Accelo_53,33A,39497.0,43334.5,3837.5,1
Actros,Actros_129,32D,42446.0,43944.0,1498.0,2
Atego,Atego_83,32A,27748.0,44076.0,16328.0,1
Accelo,Accelo_60,32C,30666.0,44234.5,13568.5,1
Accelo,Accelo_50,38,43227.5,44248.5,1021.0,1
Arocs,Arocs_18,34B,32520.66666666667,44681.33333333333,12160.666666666657,2
Accelo,Accelo_53,34A,43334.5,44810.5,1476.0,1
Atego 8x2 e 8x4,Atego 8x2 e 8x4_31,33B,15929.0,44822.0,28893.0,2
Accelo,Accelo_56,33A,41076.0,44917.5,3841.5,1
Atego,Atego_84,32A,28078.0,45210.0,17132.0,1
Accelo,Accelo_61,32C,31734.0,45813.5,14079.5,1
Accelo,Accelo_53,38,44810.5,45831.5,1021.0,1
Atego,Atego_85,32A,28408.0,46344.0,17936.0,1
Accelo,Accelo_56,34A,44917.5,46393.5,1476.0,1
Atego (ATP),Atego (ATP)_133,32D,43003.0,46676.0,3673.0,2
Atego,Atego_59,33A,42655.5,46681.5,4026.0,1
Arocs,Arocs_18,39,44681.33333333333,47011.99999999999,2330.6666666666642,2
Atego 8x2 e 8x4,Atego 8x2 e 8x4_32,33B,16826.0,47014.0,30188.0,2
Accelo,Accelo_62,32C,32802.0,47392.5,14590.5,1
Accelo,Accelo_87,32A,29009.0,47412.0,18403.0,1
Accelo,Accelo_56,38,46393.5,47414.5,1021.0,1
Atego,Atego_59,34A,46681.5,48148.0,1466.5,1
Accelo,Accelo_60,33A,44234.5,48264.5,4030.0,1
Atego,Atego_88,32A,29398.0,48546.0,19148.0,1
Atego,Atego_63,32C,33936.0,48972.0,15036.0,1
Atego,Atego_59,38,48148.0,49169.0,1021.0,1
Arocs,Arocs_20,34B,36479.333333333336,49520.99999999999,13041.666666666657,2
Accelo,Accelo_91,32A,29999.0,49614.0,19615.0,1
Accelo,Accelo_60,34A,48264.5,49740.5,1476.0,1
Accelo,Accelo_61,33A,45813.5,49847.5,4034.0,1
