modelo,nome,posto,entrada,saida,duracao,perna
Accelo,Accelo_0,30A,330.0,583.0,253.0,1
Accelo,Accelo_0,31A,583.0,899.0,316.0,1
Accelo,Accelo_0,32A,899.0,1253.0,354.0,1
Actros,Actros_1,30B,660.0,1412.0,752.0,2
Atego (ATP),Atego (ATP)_3,30A,1320.0,1646.0,326.0,1
Accelo,Accelo_4,30B,1650.0,1903.0,253.0,2
Actros,Actros_1,31B,1412.0,1967.0,555.0,2
Atego (ATP),Atego (ATP)_3,31A,1646.0,1976.0,330.0,1
Actros,Actros_2,32C,990.0,1978.0,988.0,1
Accelo,Accelo_4,31B,1903.0,2283.0,380.0,2
Actros,Actros_2,33A,1978.0,2385.0,407.0,1
Atego (ATP),Atego (ATP)_6,30A,2310.0,2636.0,326.0,1
Atego (ATP),Atego (ATP)_3,32A,1976.0,2653.0,677.0,1
Accelo,Accelo_0,32C,1253.0,2691.0,1438.0,1
Actros,Actros_2,34A,2385.0,2854.0,469.0,1
Actros,Actros_1,32B,1967.0,2932.0,965.0,2
Atego (ATP),Atego (ATP)_6,31A,2636.0,2966.0,330.0,1
Accelo,Accelo_0,33A,2691.0,3060.0,369.0,1
Accelo,Accelo_4,32B,2283.0,3167.0,884.0,2
Actros,Actros_7,30B,2640.0,3392.0,752.0,2
Atego (ATP),Atego (ATP)_6,32A,2966.0,3643.0,677.0,1
Actros,Actros_5,32C,1980.0,3679.0,1699.0,1
Actros,Actros_1,32D,2932.0,3920.0,988.0,2
Actros,Actros_7,31B,3392.0,3947.0,555.0,2
Accelo,Accelo_0,34A,3060.0,3996.0,936.0,1
Actros,Actros_5,33A,3679.0,4086.0,407.0,1
Accelo,Accelo_4,32D,3167.0,4514.0,1347.0,2
Actros,Actros_5,34A,4086.0,4555.0,469.0,1
Accelo,Accelo_0,38,3996.0,4629.0,633.0,1
Actros,Actros_7,32B,3947.0,4912.0,965.0,2
Actros,Actros_1,33B,3920.0,5035.0,1115.0,2
Atego (ATP),Atego (ATP)_3,32C,2653.0,5165.0,2512.0,1
Accelo,Accelo_4,33B,4514.0,5523.0,1009.0,2
Accelo,Accelo_12,30A,5276.0,5529.0,253.0,1
Atego (ATP),Atego (ATP)_3,33A,5165.0,5541.0,376.0,1
Accelo,Accelo_12,31A,5529.0,5845.0,316.0,1
Accelo,Accelo_13,30B,5606.0,5859.0,253.0,2
Actros,Actros_7,32D,4912.0,5900.0,988.0,2
Actros,Actros_8,32C,2970.0,6153.0,3183.0,1
Accelo,Accelo_13,31B,5859.0,6175.0,316.0,2
Accelo,Accelo_12,32A,5845.0,6199.0,354.0,1
Accelo,Accelo_13,32B,6175.0,6410.0,235.0,2
Atego (ATP),Atego (ATP)_3,34A,5541.0,6466.0,925.0,1
Actros,Actros_8,33A,6153.0,6560.0,407.0,1
Atego,Atego_15,30A,6266.0,6580.0,314.0,1
Atego,Atego_15,31A,6580.0,6894.0,314.0,1
Atego,Atego_18,30B,6596.0,6910.0,314.0,2
Accelo,Accelo_13,32D,6410.0,7004.0,594.0,2
Actros,Actros_7,33B,5900.0,7015.0,1115.0,2
Actros,Actros_8,34A,6560.0,7029.0,469.0,1
Atego (ATP),Atego (ATP)_3,38,6466.0,7099.0,633.0,1
Atego,Atego_18,31B,6910.0,7224.0,314.0,2
Atego (ATP),Atego (ATP)_19,30A,6926.0,7252.0,326.0,1
Atego,Atego_15,32A,6894.0,7308.0,414.0,1
Accelo,Accelo_13,33B,7004.0,7503.0,499.0,2
Atego,Atego_18,32B,7224.0,7518.0,294.0,2
Atego (ATP),Atego (ATP)_19,31A,7252.0,7582.0,330.0,1
Atego (ATP),Atego (ATP)_6,32C,3643.0,7639.0,3996.0,1
Actros,Actros_1,34B,5035.0,7812.0,2777.0,2
Atego (ATP),Atego (ATP)_21,30A,7586.0,7912.0,326.0,1
Actros,Actros_20,30B,7256.0,8008.0,752.0,2
Atego (ATP),Atego (ATP)_6,33A,7639.0,8015.0,376.0,1
Atego,Atego_18,32D,7518.0,8100.0,582.0,2
Atego (ATP),Atego (ATP)_21,31A,7912.0,8242.0,330.0,1
Atego (ATP),Atego (ATP)_22,30A,7916.0,8242.0,326.0,1
Atego (ATP),Atego (ATP)_19,32A,7582.0,8259.0,677.0,1
Accelo,Accelo_23,30B,8246.0,8499.0,253.0,2
Actros,Actros_1,39,7812.0,8520.0,708.0,2
Actros,Actros_20,31B,8008.0,8563.0,555.0,2
Atego (ATP),Atego (ATP)_22,31A,8242.0,8572.0,330.0,1
Actros,Actros_9,32C,3958.0,8627.0,4669.0,1
Atego,Atego_18,33B,8100.0,8648.0,548.0,2
Accelo,Accelo_23,31B,8499.0,8879.0,380.0,2
Atego,Atego_25,30A,8576.0,8890.0,314.0,1
Atego (ATP),Atego (ATP)_21,32A,8242.0,8936.0,694.0,1
Atego (ATP),Atego (ATP)_6,34A,8015.0,8940.0,925.0,1
Accelo,Accelo_4,34B,5523.0,9018.333333333334,3495.333333333334,2
Actros,Actros_9,33A,8627.0,9034.0,407.0,1
Atego,Atego_25,31A,8890.0,9204.0,314.0,1
Actros,Actros_9,34A,9034.0,9503.0,469.0,1
Actros,Actros_20,32B,8563.0,9528.0,965.0,2
Atego (ATP),Atego (ATP)_6,38,8940.0,9573.0,633.0,1
Atego (ATP),Atego (ATP)_22,32A,8572.0,9613.0,1041.0,1
Arocs,Arocs_10,32C,4946.0,9615.0,4669.0,1
Actros,Actros_27,30B,8906.0,9658.0,752.0,2
Accelo,Accelo_23,32B,8879.0,9763.0,884.0,2
Accelo,Accelo_4,39,9018.333333333334,9921.666666666668,903.3333333333339,2
Arocs,Arocs_10,33A,9615.0,10022.0,407.0,1
Atego,Atego_25,32A,9204.0,10027.0,823.0,1
Actros,Actros_27,31B,9658.0,10213.0,555.0,2
Arocs,Arocs_10,34A,10022.0,10491.0,469.0,1
Actros,Actros_20,32D,9528.0,10516.0,988.0,2
Actros,Actros_14,32C,5936.0,10603.0,4667.0,1
Atego,Atego_30,30A,10554.0,10868.0,314.0,1
Actros,Actros_14,33A,10603.0,11010.0,407.0,1
Accelo,Accelo_23,32D,9763.0,11110.0,1347.0,2
Accelo,Accelo_31,30B,10884.0,11137.0,253.0,2
Actros,Actros_27,32B,10213.0,11178.0,965.0,2
Atego,Atego_30,31A,10868.0,11182.0,314.0,1
Accelo,Accelo_12,32C,6199.0,11316.0,5117.0,1
Accelo,Accelo_31,31B,11137.0,11453.0,316.0,2
Actros,Actros_14,34A,11010.0,11479.0,469.0,1
Atego (ATP),Atego (ATP)_32,30A,11214.0,11540.0,326.0,1
Atego,Atego_30,32A,11182.0,11596.0,414.0,1
Actros,Actros_20,33B,10516.0,11631.0,1115.0,2
Accelo,Accelo_12,33A,11316.0,11685.0,369.0,1
Accelo,Accelo_31,32B,11453.0,11688.0,235.0,2
Actros,Actros_7,34B,7015.0,11795.333333333334,4780.333333333334,2
Atego (ATP),Atego (ATP)_32,31A,11540.0,11870.0,330.0,1
Atego,Atego_15,32C,7308.0,12018.0,4710.0,1
Accelo,Accelo_23,33B,11110.0,12119.0,1009.0,2
Actros,Actros_27,32D,11178.0,12166.0,988.0,2
Atego,Atego_35,30A,11874.0,12188.0,314.0,1
Actros,Actros_34,30B,11544.0,12296.0,752.0,2
Atego,Atego_15,33A,12018.0,12446.0,428.0,1
Atego,Atego_35,31A,12188.0,12502.0,314.0,1
Actros,Actros_7,39,11795.333333333334,12503.333333333334,708.0,2
Atego (ATP),Atego (ATP)_36,30A,12204.0,12530.0,326.0,1
Atego (ATP),Atego (ATP)_32,32A,11870.0,12547.0,677.0,1
Accelo,Accelo_12,34A,11685.0,12621.0,936.0,1
Accelo,Accelo_31,32D,11688.0,12760.0,1072.0,2
Actros,Actros_34,31B,12296.0,12851.0,555.0,2
