modelo,nome,posto,entrada,saida,duracao,perna
Accelo,Accelo_0,30A,330.0,583.0,253.0,1
Accelo,Accelo_0,31A,583.0,899.0,316.0,1
Atego,Atego_1,30A,660.0,974.0,314.0,1
Atego,Atego_1,31A,974.0,1288.0,314.0,1
Atego 8x2 e 8x4,Atego 8x2 e 8x4_2,30B,990.0,1304.0,314.0,2
Atego 8x2 e 8x4,Atego 8x2 e 8x4_2,31B,1304.0,1618.0,314.0,2
Accelo,Accelo_4,30A,1650.0,1903.0,253.0,1
Atego 8x2 e 8x4,Atego 8x2 e 8x4_2,32B,1618.0,1912.0,294.0,2
Accelo,Accelo_0,32A,899.0,1967.0,1068.0,1
Actros,Actros_3,30B,1320.0,2072.0,752.0,2
Accelo,Accelo_4,31A,1903.0,2219.0,316.0,1
Atego quinta roda,Atego quinta roda_5,30B,2072.0,2398.0,326.0,2
Actros,Actros_3,31B,2072.0,2627.0,555.0,2
Atego quinta roda,Atego quinta roda_6,30B,2402.0,2728.0,326.0,2
Atego 8x2 e 8x4,Atego 8x2 e 8x4_2,32D,1912.0,2809.0,897.0,2
Atego quinta roda,Atego quinta roda_5,31B,2398.0,2957.0,559.0,2
Atego quinta roda,Atego quinta roda_7,30B,2732.0,3058.0,326.0,2
Atego,Atego_1,32A,1288.0,3101.0,1813.0,1
Atego quinta roda,Atego quinta roda_6,31B,2728.0,3287.0,559.0,2
Atego,Atego_8,30A,3062.0,3376.0,314.0,1
Actros,Actros_3,32B,2627.0,3592.0,965.0,2
Atego quinta roda,Atego quinta roda_7,31B,3058.0,3617.0,559.0,2
Atego,Atego_8,31A,3376.0,3690.0,314.0,1
Accelo,Accelo_0,32C,1967.0,3698.0,1731.0,1
Atego,Atego_10,30A,3722.0,4036.0,314.0,1
Atego 8x2 e 8x4,Atego 8x2 e 8x4_2,33B,2809.0,4077.0,1268.0,2
Actros,Actros_3,32D,3592.0,4086.0,494.0,2
Actros,Actros_9,30B,3392.0,4144.0,752.0,2
Atego quinta roda,Atego quinta roda_5,32B,2957.0,4149.0,1192.0,2
Accelo,Accelo_4,32A,2219.0,4169.0,1950.0,1
Atego,Atego_10,31A,4036.0,4350.0,314.0,1
Actros,Actros_9,31B,4144.0,4699.0,555.0,2
Atego quinta roda,Atego quinta roda_6,32B,3287.0,4706.0,1419.0,2
Actros,Actros_11,30B,4144.0,4896.0,752.0,2
Atego quinta roda,Atego quinta roda_7,32B,3617.0,5263.0,1646.0,2
Accelo,Accelo_0,33A,3698.0,5281.0,1583.0,1
Atego,Atego_8,32A,3690.0,5303.0,1613.0,1
Atego,Atego_1,32C,3101.0,5435.0,2334.0,1
Actros,Actros_11,31B,4896.0,5451.0,555.0,2
Actros,Actros_12,30B,4896.0,5648.0,752.0,2
Actros,Actros_12,31B,5648.0,6203.0,555.0,2
Actros,Actros_9,32B,4699.0,6228.0,1529.0,2
Actros,Actros_13,30B,5648.0,6400.0,752.0,2
Atego,Atego_10,32A,4350.0,6437.0,2087.0,1
Atego quinta roda,Atego quinta roda_5,32D,4149.0,6519.0,2370.0,2
Atego quinta roda,Atego quinta roda_14,30B,6400.0,6726.0,326.0,2
Atego 8x2 e 8x4,Atego 8x2 e 8x4_2,34B,4077.0,6884.333333333334,2807.333333333334,2
Accelo,Accelo_0,34A,5281.0,6909.0,1628.0,1
Actros,Actros_13,31B,6400.0,6955.0,555.0,2
Atego quinta roda,Atego quinta roda_15,30B,6730.0,7056.0,326.0,2
Accelo,Accelo_4,32C,4169.0,7166.0,2997.0,1
Actros,Actros_11,32B,5451.0,7193.0,1742.0,2
Atego,Atego_1,33A,5435.0,7199.0,1764.0,1
Atego quinta roda,Atego quinta roda_14,31B,6726.0,7285.0,559.0,2
Actros,Actros_3,33B,4086.0,7431.0,3345.0,2
Atego quinta roda,Atego quinta roda_15,31B,7056.0,7615.0,559.0,2
Actros,Actros_16,30B,7060.0,7812.0,752.0,2
Accelo,Accelo_0,38,6909.0,7930.0,1021.0,1
Atego quinta roda,Atego quinta roda_17,30B,7812.0,8138.0,326.0,2
Actros,Actros_12,32B,6203.0,8158.0,1955.0,2
Actros,Actros_16,31B,7812.0,8367.0,555.0,2
Atego quinta roda,Atego quinta roda_17,31B,8138.0,8697.0,559.0,2
Accelo,Accelo_4,33A,7166.0,8782.0,1616.0,1
Atego,Atego_1,34A,7199.0,8823.0,1624.0,1
Atego quinta roda,Atego quinta roda_6,32D,4706.0,8889.0,4183.0,2
Actros,Actros_18,30B,8142.0,8894.0,752.0,2
Atego,Atego_8,32C,5303.0,8903.0,3600.0,1
Actros,Actros_13,32B,6955.0,9123.0,2168.0,2
Atego quinta roda,Atego quinta roda_5,33B,6519.0,9159.0,2640.0,2
Atego 8x2 e 8x4,Atego 8x2 e 8x4_2,39,6884.333333333334,9282.666666666668,2398.333333333334,2
Actros,Actros_18,31B,8894.0,9449.0,555.0,2
Arocs,Arocs_19,30B,8894.0,9646.0,752.0,2
Atego quinta roda,Atego quinta roda_14,32B,7285.0,9680.0,2395.0,2
Atego,Atego_1,38,8823.0,9844.0,1021.0,1
Arocs,Arocs_19,31B,9646.0,10201.0,555.0,2
Atego quinta roda,Atego quinta roda_15,32B,7615.0,10237.0,2622.0,2
Actros,Actros_20,30B,9646.0,10398.0,752.0,2
Accelo,Accelo_4,34A,8782.0,10451.0,1669.0,1
Atego,Atego_10,32C,6437.0,10640.0,4203.0,1
Atego,Atego_8,33A,8903.0,10667.0,1764.0,1
Atego (ATP),Atego (ATP)_21,30B,10398.0,10724.0,326.0,2
Atego quinta roda,Atego quinta roda_6,33B,8889.0,10887.0,1998.0,2
Actros,Actros_20,31B,10398.0,10953.0,555.0,2
Actros,Actros_16,32B,8367.0,11202.0,2835.0,2
Atego quinta roda,Atego quinta roda_7,32D,5263.0,11259.0,5996.0,2
Atego (ATP),Atego (ATP)_21,31B,10724.0,11283.0,559.0,2
Accelo,Accelo_4,38,10451.0,11472.0,1021.0,1
Actros,Actros_22,30B,10728.0,11480.0,752.0,2
Actros,Actros_9,32D,6228.0,11753.0,5525.0,2
Atego quinta roda,Atego quinta roda_17,32B,8697.0,11759.0,3062.0,2
Atego 8x2 e 8x4,Atego 8x2 e 8x4_23,30B,11480.0,11794.0,314.0,2
Actros,Actros_22,31B,11480.0,12035.0,555.0,2
Accelo,Accelo_24,30A,11810.0,12063.0,253.0,1
Actros,Actros_11,32D,7193.0,12247.0,5054.0,2
Atego,Atego_8,34A,10667.0,12291.0,1624.0,1
Atego 8x2 e 8x4,Atego 8x2 e 8x4_23,31B,11794.0,12349.0,555.0,2
Accelo,Accelo_24,31A,12063.0,12379.0,316.0,1
Accelo,Accelo_25,30A,12140.0,12393.0,253.0,1
Atego,Atego_10,33A,10640.0,12431.0,1791.0,1
Accelo,Accelo_25,31A,12393.0,12709.0,316.0,1
Actros,Actros_18,32B,9449.0,12724.0,3275.0,2
Actros,Actros_12,32D,8158.0,12741.0,4583.0,2
Atego quinta roda,Atego quinta roda_26,30B,12470.0,12796.0,326.0,2
Atego quinta roda,Atego quinta roda_7,33B,11259.0,12987.0,1728.0,2
Atego quinta roda,Atego quinta roda_26,31B,12796.0,13126.0,330.0,2
Atego quinta roda,Atego quinta roda_27,30B,12800.0,13126.0,326.0,2
Actros,Actros_3,34B,7431.0,13224.0,5793.0,2
Actros,Actros_13,32D,9123.0,13235.0,4112.0,2
Atego,Atego_8,38,12291.0,13312.0,1021.0,1
Accelo,Accelo_24,32A,12379.0,13447.0,1068.0,1
Atego quinta roda,Atego quinta roda_27,31B,13126.0,13456.0,330.0,2
Atego quinta roda,Atego quinta roda_28,30B,13130.0,13456.0,326.0,2
Arocs,Arocs_19,32B,10201.0,13689.0,3488.0,2
Atego,Atego_29,30A,13460.0,13774.0,314.0,1
